paper_id,equation_type,equation_text,page,section,variables,context_sentence
Article 2.pdf,Unclassified,"NaLnSe2 (Ln = lanthanides). Mater. Res. Bull. 1987, 22, 829−840.",11,Supplementary,Ln | Res,"NaLnSe2 (Ln = lanthanides). Mater. Res. Bull. 1987, 22, 829−840."
Article 2.pdf,Unclassified,"(32) Liao, W.; Dronskowski, R. LiM2(NCN)Br3 (M = Sr, Eu):",11,Supplementary,W | R | NCN | Br3 | M | Sr | Eu,"(32) Liao, W.; Dronskowski, R. LiM2(NCN)Br3 (M = Sr, Eu):"
Article 3.pdf,NEB,This provides preprocessed input for first-principles nudged elastic band (FP-NEB) calculations without manual interven­ tion.,7,Methods,FP | NEB,This provides preprocessed input for first-principles nudged elastic band (FP-NEB) calculations without manual interven­ tion.
Article 3.pdf,Arrhenius,"Migration barrier From the Nernst-Einstein equation and the Arrhenius equation, established that the microscopic ion migration barrier (Ea) is one of the most critical physical quantities determining ionic conductivity, with the two exhibiting an exponential inverse relationship [18].",7,Methods,ion | Ea | one | two | an,"Migration barrier From the Nernst-Einstein equation and the Arrhenius equation, established that the microscopic ion migration barrier (Ea) is one of the most critical physical quantities determining ionic conductivity, with the two exhibiting an exponential inverse relationship [18]."
Article 7.pdf,MSD/Diffusion,"Article https://doi.org/10.1038/s41467-026-77363-w is treated as being part of the static backbone, motivated by the sig- nificantly lower mean squared displacements of the backbone atoms (factors of one to four orders of magnitude, see examples in Supple- mentary Figs. 7–9).",4,Results,doi | org | w | as | by | sig | one | see,"Article https://doi.org/10.1038/s41467-026-77363-w is treated as being part of the static backbone, motivated by the sig- nificantly lower mean squared displacements of the backbone atoms (factors of one to four orders of magnitude, see examples in Supple- mentary Figs. 7–9)."
Article 7.pdf,Arrhenius,Arrhenius plot of the diffusion coefficients of glasses in the LiPS system sampled at elevated temperatures.,5,Discussion,NONE,Arrhenius plot of the diffusion coefficients of glasses in the LiPS system sampled at elevated temperatures.
Article 7.pdf,Unclassified,D = 1,7,Methods,D,D = 1
Article 7.pdf,Unclassified,D = D0 exp  Ea,7,Methods,D | D0 | exp | Ea,D = D0 exp  Ea
Article 7.pdf,Unclassified,"σ = neμ,",7,Methods,σ,"σ = neμ,"
Article 7.pdf,Nernst-Einstein,"The mobility (μ) of ions is related to their diffusion coefficient (D) through the Nernst-Einstein relation, Ze ð Þ2",7,Methods,μ | D | Ze,"The mobility (μ) of ions is related to their diffusion coefficient (D) through the Nernst-Einstein relation, Ze ð Þ2"
Article 7.pdf,Unclassified,σ = n,7,Methods,σ | n,σ = n
Machine_Learning_Paradigm_for_Advanced_Battery_Ele.pdf,Unclassified,= 1,5,Abstract,NONE,= 1
Machine_Learning_Paradigm_for_Advanced_Battery_Ele.pdf,Arrhenius,The model encodes the Arrhenius equation describing the temperature activation process into the readout layer of the message passing neural network.,18,Methods,NONE,The model encodes the Arrhenius equation describing the temperature activation process into the readout layer of the message passing neural network.
Machine_Learning_Paradigm_for_Advanced_Battery_Ele.pdf,NEB,"It enables automated prediction of ion migration pathways and energy barriers within crystal structures, thereby guiding first‐principles functional‐projected elastic band (FP‐NEB) calculations.",20,Methods,It | ion | FP | NEB,"It enables automated prediction of ion migration pathways and energy barriers within crystal structures, thereby guiding first‐principles functional‐projected elastic band (FP‐NEB) calculations."
Article 6.pdf,NEB,"At the kinetic level, DFT combined with minimum-energy-path methods, particularly the climbing-image nudged elastic band (CI- NEB) approach, provides access to Li-ion migration barriers along different crystallographic pathways and under varied defect environ­ ments.",6,Abstract,DFT | CI | NEB | Li | ion,"At the kinetic level, DFT combined with minimum-energy-path methods, particularly the climbing-image nudged elastic band (CI- NEB) approach, provides access to Li-ion migration barriers along different crystallographic pathways and under varied defect environ­ ments."
Article 6.pdf,Arrhenius,"Rather, their principal value lies in the fact that migration barriers can be recast, through Arrhenius relations, composition-dependent fitting, or statistical averaging, into effective diffusion coefficients and anisotropic transport inputs for P2D, phase-field, and electrochemical-mechanical models.",6,Abstract,can | be | P2D,"Rather, their principal value lies in the fact that migration barriers can be recast, through Arrhenius relations, composition-dependent fitting, or statistical averaging, into effective diffusion coefficients and anisotropic transport inputs for P2D, phase-field, and electrochemical-mechanical models."
Article 4.pdf,Unclassified,Ji = −Di∇ci −ziuiFci∇φ,12,Introduction,Ji | Di | ci,Ji = −Di∇ci −ziuiFci∇φ
Article 4.pdf,Unclassified,j = j0,12,Introduction,j | j0,j = j0
Article 4.pdf,Unclassified,∂t = −M δG,12,Introduction,t | M | δG,∂t = −M δG
Article 5.pdf,NEB,"At the kinetic level, DFT combined with minimum-energy-path methods, particularly the climbing-image nudged elastic band (CI- NEB) approach, provides access to Li-ion migration barriers along different crystallographic pathways and under varied defect environ­ ments.",6,Abstract,DFT | CI | NEB | Li | ion,"At the kinetic level, DFT combined with minimum-energy-path methods, particularly the climbing-image nudged elastic band (CI- NEB) approach, provides access to Li-ion migration barriers along different crystallographic pathways and under varied defect environ­ ments."
Article 5.pdf,Arrhenius,"Rather, their principal value lies in the fact that migration barriers can be recast, through Arrhenius relations, composition-dependent fitting, or statistical averaging, into effective diffusion coefficients and anisotropic transport inputs for P2D, phase-field, and electrochemical-mechanical models.",6,Abstract,can | be | P2D,"Rather, their principal value lies in the fact that migration barriers can be recast, through Arrhenius relations, composition-dependent fitting, or statistical averaging, into effective diffusion coefficients and anisotropic transport inputs for P2D, phase-field, and electrochemical-mechanical models."
Article 8 2.pdf,Unclassified,"five SEs [M(dimethylformamide)2Ni(CN)4, M = Mn2+, Fe2+, Co2+,",2,Metadata/Header,SEs | M | CN | Mn2 | Fe2 | Co2,"five SEs [M(dimethylformamide)2Ni(CN)4, M = Mn2+, Fe2+, Co2+,"
Article 8 2.pdf,Unclassified,"s. t. gi(x)≤0, i=1, 2, ... , m",4,Metadata/Header,s | t | gi | x | i | m,"s. t. gi(x)≤0, i=1, 2, ... , m"
Article 8 2.pdf,MSD/Diffusion,"Downloaded from https://www.science.org on August 31, 2026 Battery assembly Performance testing Stability evaluation Property calculation Diffusion MSD Materials candidates (fast Li-ion conductors)",4,Metadata/Header,www | org | on | MSD | Li | ion,"Downloaded from https://www.science.org on August 31, 2026 Battery assembly Performance testing Stability evaluation Property calculation Diffusion MSD Materials candidates (fast Li-ion conductors)"
Article 8 2.pdf,Unclassified,E =,5,Metadata/Header,E,E =
Article 8 2.pdf,Unclassified,i=1 Ei,5,Metadata/Header,i | Ei,i=1 Ei
Article 8 2.pdf,Unclassified,"Ei = M({rij}, j ∈K(i)",5,Metadata/Header,Ei | M | rij | j | K | i,"Ei = M({rij}, j ∈K(i)"
Article 8 2.pdf,Unclassified,ij = φm,5,Metadata/Header,ij,ij = φm
Article 8 2.pdf,Unclassified,i =,5,Metadata/Header,i,i =
Article 8 2.pdf,Unclassified,aij =,6,Metadata/Header,aij,aij =
Article 8 2.pdf,Unclassified,i =,6,Metadata/Header,i,i =
Article 8 2.pdf,Unclassified,Fi = −∇riE,6,Metadata/Header,Fi | riE,Fi = −∇riE
Article 8 2.pdf,Unclassified,=λE‖EML −EQM‖2 +λF,6,Metadata/Header,EML | EQM,=λE‖EML −EQM‖2 +λF
Article 8 2.pdf,Arrhenius,"For instance, low-­ temperature MLFF simulations revealed the nonlinear Arrhenius behavior of Li+ in Li3ErCl6, which has an ionic conductivity of 0.05 to 0.3 mS/cm (101), explaining why traditional AIMD simulations overestimate its ionic conductivity (68).",10,Methods,low | Li | has | an | mS | cm | why | its,"For instance, low-­ temperature MLFF simulations revealed the nonlinear Arrhenius behavior of Li+ in Li3ErCl6, which has an ionic conductivity of 0.05 to 0.3 mS/cm (101), explaining why traditional AIMD simulations overestimate its ionic conductivity (68)."
Article 8 2.pdf,Unclassified,MAE of 0.03 eV and a root-­mean-­squared error (RMSE) = 0.04 eV,14,Methods,MAE | eV | a,MAE of 0.03 eV and a root-­mean-­squared error (RMSE) = 0.04 eV
Article 8 2.pdf,Unclassified,Keff = K*,15,Methods,K,Keff = K*
Article 8 2.pdf,Unclassified,Keff = 0,15,Methods,NONE,Keff = 0
Article 8.pdf,Unclassified,"five SEs [M(dimethylformamide)2Ni(CN)4, M = Mn2+, Fe2+, Co2+,",2,Metadata/Header,SEs | M | CN | Mn2 | Fe2 | Co2,"five SEs [M(dimethylformamide)2Ni(CN)4, M = Mn2+, Fe2+, Co2+,"
Article 8.pdf,Unclassified,"s. t. gi(x)≤0, i=1, 2, ... , m",4,Metadata/Header,s | t | gi | x | i | m,"s. t. gi(x)≤0, i=1, 2, ... , m"
Article 8.pdf,MSD/Diffusion,"Downloaded from https://www.science.org on August 31, 2026 Battery assembly Performance testing Stability evaluation Property calculation Diffusion MSD Materials candidates (fast Li-ion conductors)",4,Metadata/Header,www | org | on | MSD | Li | ion,"Downloaded from https://www.science.org on August 31, 2026 Battery assembly Performance testing Stability evaluation Property calculation Diffusion MSD Materials candidates (fast Li-ion conductors)"
Article 8.pdf,Unclassified,E =,5,Metadata/Header,E,E =
Article 8.pdf,Unclassified,i=1 Ei,5,Metadata/Header,i | Ei,i=1 Ei
Article 8.pdf,Unclassified,"Ei = M({rij}, j ∈K(i)",5,Metadata/Header,Ei | M | rij | j | K | i,"Ei = M({rij}, j ∈K(i)"
Article 8.pdf,Unclassified,ij = φm,5,Metadata/Header,ij,ij = φm
Article 8.pdf,Unclassified,i =,5,Metadata/Header,i,i =
Article 8.pdf,Unclassified,aij =,6,Metadata/Header,aij,aij =
Article 8.pdf,Unclassified,i =,6,Metadata/Header,i,i =
Article 8.pdf,Unclassified,Fi = −∇riE,6,Metadata/Header,Fi | riE,Fi = −∇riE
Article 8.pdf,Unclassified,=λE‖EML −EQM‖2 +λF,6,Metadata/Header,EML | EQM,=λE‖EML −EQM‖2 +λF
Article 8.pdf,Arrhenius,"For instance, low-­ temperature MLFF simulations revealed the nonlinear Arrhenius behavior of Li+ in Li3ErCl6, which has an ionic conductivity of 0.05 to 0.3 mS/cm (101), explaining why traditional AIMD simulations overestimate its ionic conductivity (68).",10,Methods,low | Li | has | an | mS | cm | why | its,"For instance, low-­ temperature MLFF simulations revealed the nonlinear Arrhenius behavior of Li+ in Li3ErCl6, which has an ionic conductivity of 0.05 to 0.3 mS/cm (101), explaining why traditional AIMD simulations overestimate its ionic conductivity (68)."
Article 8.pdf,Unclassified,MAE of 0.03 eV and a root-­mean-­squared error (RMSE) = 0.04 eV,14,Methods,MAE | eV | a,MAE of 0.03 eV and a root-­mean-­squared error (RMSE) = 0.04 eV
Article 8.pdf,Unclassified,Keff = K*,15,Methods,K,Keff = K*
Article 8.pdf,Unclassified,Keff = 0,15,Methods,NONE,Keff = 0
Article 9.pdf,Arrhenius,"As shown by the Arrhenius plots (Fig. S5), ME1-NZSP exhibits an activation energy of 0.29 eV–significantly lower than that of pristine NZSP (0.35 eV)–indicating that configurational disor- der introduced by multi-cation substitution facilitates Na+ hopping by lowering the migration energy barriers.",6,Supplementary,As | by | Fig | S5 | ME1 | an | eV | der,"As shown by the Arrhenius plots (Fig. S5), ME1-NZSP exhibits an activation energy of 0.29 eV–significantly lower than that of pristine NZSP (0.35 eV)–indicating that configurational disor- der introduced by multi-cation substitution facilitates Na+ hopping by lowering the migration energy barriers."
Machine Learning-Assisted Crystal Structure Prediction of SolidState Electrolytes Reveals Superior Ionic Conductivity in Metastable Edge-Sharing Phases.pdf,MSD/Diffusion,"Details of the computational procedure for diffusivity are described in Supporting Information, and the mean square displacement (MSD) results for the 10 most stable structures in each composition are shown in Figures S4−S7.",5,Supplementary,are | MSD | S4 | S7,"Details of the computational procedure for diffusivity are described in Supporting Information, and the mean square displacement (MSD) results for the 10 most stable structures in each composition are shown in Figures S4−S7."
Machine Learning-Assisted Crystal Structure Prediction of SolidState Electrolytes Reveals Superior Ionic Conductivity in Metastable Edge-Sharing Phases.pdf,Unclassified,"S5I (M= Si, Ge, Sn). Chem. Mater. 2019, 31, 4936−4944.",11,Methods,S5I | M | Si | Ge | Sn,"S5I (M= Si, Ge, Sn). Chem. Mater. 2019, 31, 4936−4944."
Article 7 2.pdf,MSD/Diffusion,"Article https://doi.org/10.1038/s41467-026-77363-w is treated as being part of the static backbone, motivated by the sig- nificantly lower mean squared displacements of the backbone atoms (factors of one to four orders of magnitude, see examples in Supple- mentary Figs. 7–9).",4,Results,doi | org | w | as | by | sig | one | see,"Article https://doi.org/10.1038/s41467-026-77363-w is treated as being part of the static backbone, motivated by the sig- nificantly lower mean squared displacements of the backbone atoms (factors of one to four orders of magnitude, see examples in Supple- mentary Figs. 7–9)."
Article 7 2.pdf,Arrhenius,Arrhenius plot of the diffusion coefficients of glasses in the LiPS system sampled at elevated temperatures.,5,Discussion,NONE,Arrhenius plot of the diffusion coefficients of glasses in the LiPS system sampled at elevated temperatures.
Article 7 2.pdf,Unclassified,D = 1,7,Methods,D,D = 1
Article 7 2.pdf,Unclassified,D = D0 exp  Ea,7,Methods,D | D0 | exp | Ea,D = D0 exp  Ea
Article 7 2.pdf,Unclassified,"σ = neμ,",7,Methods,σ,"σ = neμ,"
Article 7 2.pdf,Nernst-Einstein,"The mobility (μ) of ions is related to their diffusion coefficient (D) through the Nernst-Einstein relation, Ze ð Þ2",7,Methods,μ | D | Ze,"The mobility (μ) of ions is related to their diffusion coefficient (D) through the Nernst-Einstein relation, Ze ð Þ2"
Article 7 2.pdf,Unclassified,σ = n,7,Methods,σ | n,σ = n
Predicting ionic conductivity in solids from the machine-learned potential energy landscape.pdf,NEB,"One can achieve significant computational advantages by leveraging them as the foundation for traditional methods of assessing the ionic conductivity, such as molecular dynamics or nudged elastic band techniques.",1,Metadata/Header,One | can | by | as,"One can achieve significant computational advantages by leveraging them as the foundation for traditional methods of assessing the ionic conductivity, such as molecular dynamics or nudged elastic band techniques."
Predicting ionic conductivity in solids from the machine-learned potential energy landscape.pdf,Unclassified,FVX(t) = 1,4,Methods,FVX | t,FVX(t) = 1
Predicting ionic conductivity in solids from the machine-learned potential energy landscape.pdf,Nernst-Einstein,"Firstly, since the Kahle2020 dataset labels the structures with diffusion coefficients, we convert them to conductivity values via the Nernst-Einstein relation.",4,Methods,via,"Firstly, since the Kahle2020 dataset labels the structures with diffusion coefficients, we convert them to conductivity values via the Nernst-Einstein relation."
Predicting ionic conductivity in solids from the machine-learned potential energy landscape.pdf,Unclassified,"Ξ = S1 · S2,",5,Methods,S1 | S2,"Ξ = S1 · S2,"
Predicting ionic conductivity in solids from the machine-learned potential energy landscape.pdf,Unclassified,S1 = s10,5,Methods,S1 | s10,S1 = s10
Predicting ionic conductivity in solids from the machine-learned potential energy landscape.pdf,Unclassified,S2 = s10,5,Methods,S2 | s10,S2 = s10
Predicting ionic conductivity in solids from the machine-learned potential energy landscape.pdf,MSD/Diffusion,The diffusion coefficient is obtained by assuming three- dimensional Brownian motion with a mean square dis- placement (MSD) given by,6,Supplementary,by | a | dis | MSD,The diffusion coefficient is obtained by assuming three- dimensional Brownian motion with a mean square dis- placement (MSD) given by
Predicting ionic conductivity in solids from the machine-learned potential energy landscape.pdf,Unclassified,σ = nq2,6,Supplementary,σ | nq2,σ = nq2
Predicting ionic conductivity in solids from the machine-learned potential energy landscape.pdf,Arrhenius,"EA is the activation energy extracted by fitting the Arrhenius law for the diffusivity dependence on 1/T using weighted least squares, where applicable.",7,Results,EA | by | law | on | T,"EA is the activation energy extracted by fitting the Arrhenius law for the diffusivity dependence on 1/T using weighted least squares, where applicable."
Predicting ionic conductivity in solids from the machine-learned potential energy landscape.pdf,Unclassified,T = 1000K,13,Methods,T,T = 1000K
Predicting ionic conductivity in solids from the machine-learned potential energy landscape.pdf,Unclassified,T = 500K,13,Methods,T,T = 500K
Predicting ionic conductivity in solids from the machine-learned potential energy landscape.pdf,Unclassified,"Extrapolated conductivity, T = 300K",13,Methods,T,"Extrapolated conductivity, T = 300K"
Predicting ionic conductivity in solids from the machine-learned potential energy landscape.pdf,Unclassified,with x = y.,13,Methods,x | y,with x = y.
Predicting ionic conductivity in solids from the machine-learned potential energy landscape.pdf,Unclassified,T = 300K,14,Methods,T,T = 300K
Predicting ionic conductivity in solids from the machine-learned potential energy landscape.pdf,Unclassified,", T = 1000K",14,Methods,T,", T = 1000K"
Predicting ionic conductivity in solids from the machine-learned potential energy landscape.pdf,Unclassified,"cm], T = 300K",14,Methods,cm | T,"cm], T = 300K"
A Graph Neural Network for the Era of Large Atomistic Models.pdf,Unclassified,"LWARMSE or LWAMAE({erri,wi}) = exp",6,Results,wi | exp,"LWARMSE or LWAMAE({erri,wi}) = exp"
A Graph Neural Network for the Era of Large Atomistic Models.pdf,Unclassified,MAE = (Nopt/1.4 × 109),10,Results,MAE,MAE = (Nopt/1.4 × 109)
A Graph Neural Network for the Era of Large Atomistic Models.pdf,Unclassified,MAE = (Dopt/2.9 × 1012),10,Results,MAE,MAE = (Dopt/2.9 × 1012)
A Graph Neural Network for the Era of Large Atomistic Models.pdf,Unclassified,MAE = (C/(2.9 × 1021 × P)),10,Results,MAE | C | P,MAE = (C/(2.9 × 1021 × P))
A Graph Neural Network for the Era of Large Atomistic Models.pdf,NEB,"The Nudged Elastic Band (NEB) method generated reaction pathways, followed by 12 ab initio molecular dynamics (AIMD) simulations using the CP2K88 code.",15,Methods,NEB | by | ab,"The Nudged Elastic Band (NEB) method generated reaction pathways, followed by 12 ab initio molecular dynamics (AIMD) simulations using the CP2K88 code."
A Graph Neural Network for the Era of Large Atomistic Models.pdf,Unclassified,"Fi = −∇riE,",17,Methods,Fi | riE,"Fi = −∇riE,"
A Graph Neural Network for the Era of Large Atomistic Models.pdf,Unclassified,Ξpq = −∑,17,Methods,NONE,Ξpq = −∑
A Graph Neural Network for the Era of Large Atomistic Models.pdf,Unclassified,Ei = F,17,Methods,Ei | F,Ei = F
A Graph Neural Network for the Era of Large Atomistic Models.pdf,Unclassified,= φu,17,Methods,NONE,= φu
A Graph Neural Network for the Era of Large Atomistic Models.pdf,Unclassified,"c,αβ = φc(v(k,l)",17,Methods,c | v | k | l,"c,αβ = φc(v(k,l)"
A Graph Neural Network for the Era of Large Atomistic Models.pdf,Unclassified,"s,αβ = φs(v(k,l)",17,Methods,s | v | k | l,"s,αβ = φs(v(k,l)"
A Graph Neural Network for the Era of Large Atomistic Models.pdf,Unclassified,"decay rate. Typically, for k = 1, we set w1",18,Methods,k | set | w1,"decay rate. Typically, for k = 1, we set w1"
A Graph Neural Network for the Era of Large Atomistic Models.pdf,Unclassified,"i j = s1(ri j), with C = 20, r1",18,Methods,i | j | s1 | ri | C | r1,"i j = s1(ri j), with C = 20, r1"
A Graph Neural Network for the Era of Large Atomistic Models.pdf,Unclassified,cs = 5.3Å. For,18,Methods,cs,cs = 5.3Å. For
A Graph Neural Network for the Era of Large Atomistic Models.pdf,Unclassified,αβ = w2,18,Methods,w2,αβ = w2
A Graph Neural Network for the Era of Large Atomistic Models.pdf,Unclassified,(ij)(im) = s2(rij)×s2(rim).,18,Methods,ij | im | s2 | rij | rim,(ij)(im) = s2(rij)×s2(rim).
A Graph Neural Network for the Era of Large Atomistic Models.pdf,Unclassified,αβ = w3,18,Methods,w3,αβ = w3
A Graph Neural Network for the Era of Large Atomistic Models.pdf,Unclassified,(ijm)(ijn) = s3(rij)×s3(rim)×s3(rin).,18,Methods,ijm | ijn | s3 | rij | rim | rin,(ijm)(ijn) = s3(rij)×s3(rim)×s3(rin).
A Graph Neural Network for the Era of Large Atomistic Models.pdf,Unclassified,= concat,18,Methods,NONE,= concat
A Graph Neural Network for the Era of Large Atomistic Models.pdf,Unclassified,"c = 6.0Å, and r1",18,Methods,c | r1,"c = 6.0Å, and r1"
A Graph Neural Network for the Era of Large Atomistic Models.pdf,Unclassified,"symm(aj,b j) = flatten",19,Methods,aj | b | j,"symm(aj,b j) = flatten"
A Graph Neural Network for the Era of Large Atomistic Models.pdf,Unclassified,ψpq =,19,Methods,NONE,ψpq =
A Graph Neural Network for the Era of Large Atomistic Models.pdf,Unclassified,pq = split,19,Methods,pq,pq = split
A Graph Neural Network for the Era of Large Atomistic Models.pdf,Unclassified,"= v(1,0)",19,Methods,v,"= v(1,0)"
A Graph Neural Network for the Era of Large Atomistic Models.pdf,Unclassified,"= one_hot(Zi),",19,Methods,Zi,"= one_hot(Zi),"
A Graph Neural Network for the Era of Large Atomistic Models.pdf,Unclassified,"= e(1,0)",19,Methods,e,"= e(1,0)"
A Graph Neural Network for the Era of Large Atomistic Models.pdf,Unclassified,= φ(1),19,Methods,NONE,= φ(1)
A Graph Neural Network for the Era of Large Atomistic Models.pdf,Unclassified,"= e(2,0)",19,Methods,e,"= e(2,0)"
A Graph Neural Network for the Era of Large Atomistic Models.pdf,Unclassified,(ij)(im) = φ(2),19,Methods,ij | im,(ij)(im) = φ(2)
A Graph Neural Network for the Era of Large Atomistic Models.pdf,Unclassified,"= e(3,0)",19,Methods,e,"= e(3,0)"
A Graph Neural Network for the Era of Large Atomistic Models.pdf,Unclassified,(ijm)(ijn) = φ(3),19,Methods,ijm | ijn,(ijm)(ijn) = φ(3)
A Graph Neural Network for the Era of Large Atomistic Models.pdf,Unclassified,//www.aissquare.com/datasets/detail?pageType=datasets&name=OpenLAM-TrainingSet,20,Boilerplate,www | com,//www.aissquare.com/datasets/detail?pageType=datasets&name=OpenLAM-TrainingSet
A Graph Neural Network for the Era of Large Atomistic Models.pdf,Unclassified,id=308 and https://www.aissquare.com/models/detail?pageType=models&name=,20,Boilerplate,id | www | com,id=308 and https://www.aissquare.com/models/detail?pageType=models&name=
A Graph Neural Network for the Era of Large Atomistic Models.pdf,Unclassified,SiLUT(x) =,22,Supplementary,x,SiLUT(x) =
