paper_id,step_order,stage,evidence_sentence,page,section
AI-Driven Rational Design of Solid-State Electrolytes .pdf,1,Conductivity Extraction,"AI for Materials https://www.sciltp.com/journals/aimat Review AI-Driven Rational Design of Solid-State Electrolytes Zama Jan 1,2,†, Jiaying He 1,†, Heqin Guo 3, Qiang Wang 3, Haleem Ud Din 4,*, Guopin",1,Metadata/Header
AI-Driven Rational Design of Solid-State Electrolytes .pdf,2,Machine Learning,"AI for Materials https://www.sciltp.com/journals/aimat Review AI-Driven Rational Design of Solid-State Electrolytes Zama Jan 1,2,†, Jiaying He 1,†, Heqin Guo 3, Qiang Wang 3, Haleem Ud Din 4,*, Guopin",1,Metadata/Header
AI-Driven Rational Design of Solid-State Electrolytes .pdf,3,Structure Retrieval,"The global demand of energy has strengthened the search of clean, cheap and ascendable energy storage technologies [1–3]. Especially, electric vehicles (EVs) bypass fossil fuels, are manufactured on l",2,Introduction
AI-Driven Rational Design of Solid-State Electrolytes .pdf,4,Experimental Validation,"The global demand of energy has strengthened the search of clean, cheap and ascendable energy storage technologies [1–3]. Especially, electric vehicles (EVs) bypass fossil fuels, are manufactured on l",2,Introduction
AI-Driven Rational Design of Solid-State Electrolytes .pdf,5,AIMD,"Jan et al. AI Mater. 2026, 1(1), 12 [49,50]. In addition, we suggest that the AI model does not simply offer empirical predictions but comprehends structure-property relationships training with these ",3,Introduction
AI-Driven Rational Design of Solid-State Electrolytes .pdf,6,MSD Analysis,"Jan et al. AI Mater. 2026, 1(1), 12 be regarded as complementary approaches, where NEB elucidates migration kinetics, while AIMD offers a comprehensive description of temperature-dependent diffusion b",4,Introduction
AI-Driven Rational Design of Solid-State Electrolytes .pdf,7,Arrhenius Fitting,"Figure 3. (a) Li−ion diffusion route in the LGPS involved of 1D, 2D diffusion and Arrhenius plots Dc, Dab along",7,Introduction
Article 1.pdf,1,AIMD,"ARTICLE https://doi.org/10.1038/s41467-019-13214-1 OPEN Unsupervised discovery of solid-state lithium ion conductors Ying Zhang1, Xingfeng He 2, Zhiqian Chen 3, Qiang Bai2, Adelaide M. Nolan 2, Charle",1,Metadata/Header
Article 1.pdf,2,Conductivity Extraction,"ARTICLE https://doi.org/10.1038/s41467-019-13214-1 OPEN Unsupervised discovery of solid-state lithium ion conductors Ying Zhang1, Xingfeng He 2, Zhiqian Chen 3, Qiang Bai2, Adelaide M. Nolan 2, Charle",1,Metadata/Header
Article 1.pdf,3,Machine Learning,"ARTICLE https://doi.org/10.1038/s41467-019-13214-1 OPEN Unsupervised discovery of solid-state lithium ion conductors Ying Zhang1, Xingfeng He 2, Zhiqian Chen 3, Qiang Bai2, Adelaide M. Nolan 2, Charle",1,Metadata/Header
Article 1.pdf,4,Structure Retrieval,ARTICLE NATURE COMMUNICATIONS | https://doi.org/10.1038/s41467-019-13214-1 T he fast conduction of lithium (Li) ions in a solid is a phenomenon of significant scientific interest and techno- logical i,2,Metadata/Header
Article 1.pdf,5,Supercell Construction,Data preprocessing. The raw data of crystalline structures were exported from the Inorganic Crystalline Structure Database (ICSD) in the format of cif files50. The range of analysis in the current stu,6,Methods
OBELiX- A Curated Dataset of Crystal Structures and Experimentally Measured Ionic Conductivities for Lithium Solid-State Electrolytes.pdf,1,Conductivity Extraction,"Solid-state electrolyte batteries are expected to replace liquid electrolyte lithium- ion batteries in the near future thanks to their higher theoretical energy density and improved safety. However, t",1,Abstract
OBELiX- A Curated Dataset of Crystal Structures and Experimentally Measured Ionic Conductivities for Lithium Solid-State Electrolytes.pdf,2,Machine Learning,"Solid-state electrolyte batteries are expected to replace liquid electrolyte lithium- ion batteries in the near future thanks to their higher theoretical energy density and improved safety. However, t",1,Abstract
OBELiX- A Curated Dataset of Crystal Structures and Experimentally Measured Ionic Conductivities for Lithium Solid-State Electrolytes.pdf,3,Experimental Validation,"Solid-state electrolyte batteries are expected to replace liquid electrolyte lithium- ion batteries in the near future thanks to their higher theoretical energy density and improved safety. However, t",1,Abstract
OBELiX- A Curated Dataset of Crystal Structures and Experimentally Measured Ionic Conductivities for Lithium Solid-State Electrolytes.pdf,4,Structure Retrieval,"far within a small number of classes of materials: LISICON (e.g., Li14ZnGe4O16), NASICON (e.g., Li1.3Al0.3Ti1.7(PO4)3), garnet (e.g., Li7Li3Zr2O12), perovskite (e.g., Li0.5La0.5TiO3), and argyrodite (",2,Abstract
OBELiX- A Curated Dataset of Crystal Structures and Experimentally Measured Ionic Conductivities for Lithium Solid-State Electrolytes.pdf,5,AIMD,"far within a small number of classes of materials: LISICON (e.g., Li14ZnGe4O16), NASICON (e.g., Li1.3Al0.3Ti1.7(PO4)3), garnet (e.g., Li7Li3Zr2O12), perovskite (e.g., Li0.5La0.5TiO3), and argyrodite (",2,Abstract
Article 2.pdf,1,Machine Learning,"pubs.acs.org/cm Cite This: Chem. Mater. 2019, 31, 342−352 Machine Learning-Assisted Discovery of Solid Li-Ion Conducting Materials Austin D. Sendek,† Ekin D. Cubuk,‡,§ Evan R. Antoniuk,∥ Gowoon Cheon,",1,Metadata/Header
Article 2.pdf,2,Conductivity Extraction,"materials with fast single crystal Li ion conductivity at room temperature, discovered through density functional theory simulations guided by machine learning-based methods. The discovery of new soli",1,Abstract
Article 2.pdf,3,Structure Retrieval,"Chemistry of Materials Article energy density, high cycle life, and unquestionably safe energy storage devices of the future. Leveraging atomic and electronic structure data from the Materials Project",2,Introduction
Article 2.pdf,4,MSD Analysis,"× − × − × x 0.18 LLB 4.01 SBI 0.47 AFC i i i (1) + × − × − 8.70 LASD 2.17 LLSD 6.56 Here, LLB is the average Li−Li bond number (number of Li neighbors) per Li; SBI is the average sublattice bond ionic",2,Introduction
Article 2.pdf,5,Arrhenius Fitting,according to the machine learning-based model (left stream) or by random selection (right stream). Materials are initially simulated at 900 K for approximately 50−100 ps. If no Li diffusion is observe,3,Introduction
Article 2.pdf,6,AIMD,The Supporting Information is available free of charge on the ACS Publications website at DOI: 10.1021/acs.chemma- ter.8b03272. Table of the computational parameters for the DFT simulations; calculati,10,Supplementary
Article 3.pdf,1,Conductivity Extraction,Computational Materials Today 10 (2026) 100051 Contents lists available at ScienceDirect Computational Materials Today journal homepage: www.sciencedirect.com/journal/computational-materials-today Mac,1,Metadata/Header
Article 3.pdf,2,Machine Learning,Computational Materials Today 10 (2026) 100051 Contents lists available at ScienceDirect Computational Materials Today journal homepage: www.sciencedirect.com/journal/computational-materials-today Mac,1,Metadata/Header
Article 3.pdf,3,AIMD,"X. Yin et al. Computational Materials Today 10 (2026) 100051 synthesizing and discovering excellent SSEs, thus establishing a solid research foundation for the practical application of SSBs [16,17]. H",2,Introduction
Article 3.pdf,4,Structure Retrieval,"X. Yin et al. Computational Materials Today 10 (2026) 100051 promising candidates for synthesis and experimental validation, sub­ stantially accelerating the discovery cycle. Moreover, ML models can u",4,Introduction
Article 3.pdf,5,Experimental Validation,"X. Yin et al. Computational Materials Today 10 (2026) 100051 promising candidates for synthesis and experimental validation, sub­ stantially accelerating the discovery cycle. Moreover, ML models can u",4,Introduction
Article 3.pdf,6,Arrhenius Fitting,"method. The dashed line shows the position where all compounds are partitioned into seven groups, marked as I–VII from left to right and distinguished by different colors. (b) Mapping the dendrogram t",7,Methods
Article 7.pdf,1,Conductivity Extraction,Article | Article in Press https://doi.org/10.1038/s41467-026-77363-w Predicting ionic conductivity of sulfide glass solid-state electrolytes using max-flow,1,Metadata/Header
Article 7.pdf,2,Machine Learning,"Article https://doi.org/10.1038/s41467-026-77363-w 11, and Li2O-B2O3-P2O5 12 have also been stu- died as potential SSE materials even though these glasses present lower ionic conductivities in the ran",2,Methods
Article 7.pdf,3,MSD Analysis,"Article https://doi.org/10.1038/s41467-026-77363-w is treated as being part of the static backbone, motivated by the sig- nificantly lower mean squared displacements of the backbone atoms (factors of ",4,Results
Article 7.pdf,4,Diffusion Analysis,"Article https://doi.org/10.1038/s41467-026-77363-w is treated as being part of the static backbone, motivated by the sig- nificantly lower mean squared displacements of the backbone atoms (factors of ",4,Results
Article 7.pdf,5,Arrhenius Fitting,"The results of our proposed max-flow algorithm show that the con- ductivity of ions in glass electrolytes is strongly influenced by the ion- conduction pathways in the materials, both in the number of",5,Discussion
Machine_Learning_Paradigm_for_Advanced_Battery_Ele.pdf,1,Machine Learning,"Carbon Energy REVIEW Machine Learning Paradigm for Advanced Battery Electrolyte Development Chang Su1 | Mengfan Pei1 | Keyu Chen1 | Xigao Jian1,2 | Fangyuan Hu1 1School of Materials Science and Engine",1,Metadata/Header
Machine_Learning_Paradigm_for_Advanced_Battery_Ele.pdf,2,Conductivity Extraction,"directly determine critical battery performance [14]. The effi­ ciency of ion transport in the electrolyte bulk corresponds to the ionic conductivity of the electrolyte, influencing its high‐rate perf",2,Abstract
Machine_Learning_Paradigm_for_Advanced_Battery_Ele.pdf,3,Structure Retrieval,"prediction of bandgap, formation energy, and shear modulus relying on Gformer (Figure 6E). In addition, voxel images of crystals can be input into CNNs. Davariashtiyani et al. [98] utilized normalized",12,Methods
Machine_Learning_Paradigm_for_Advanced_Battery_Ele.pdf,4,Arrhenius Fitting,"applicable to property prediction tasks of molecular mixtures. The forward prediction part of this framework adopts a three‐ stage process. Firstly, through graph neural networks, the general molecula",18,Methods
Machine_Learning_Paradigm_for_Advanced_Battery_Ele.pdf,5,AIMD,"data, the chemical composition, crystal structure parameters, thermodynamic stability, ion migration activation energy, and corresponding ionic conductivity of ISEs are systematically col­ lected and ",20,Methods
Article 6.pdf,1,AIMD,Y. Hu et al. Energy Storage Materials 89 (2026) 105222 mapped to degradation and health variables. These pathways are not treated as isolated case studies; they illustrate how intrinsic descriptors ar,6,Abstract
Article 6.pdf,2,Arrhenius Fitting,Y. Hu et al. Energy Storage Materials 89 (2026) 105222 mapped to degradation and health variables. These pathways are not treated as isolated case studies; they illustrate how intrinsic descriptors ar,6,Abstract
Article 6.pdf,3,Conductivity Extraction,Y. Hu et al. Energy Storage Materials 89 (2026) 105222 mapped to degradation and health variables. These pathways are not treated as isolated case studies; they illustrate how intrinsic descriptors ar,6,Abstract
Article 6.pdf,4,Machine Learning,Y. Hu et al. Energy Storage Materials 89 (2026) 105222 mapped to degradation and health variables. These pathways are not treated as isolated case studies; they illustrate how intrinsic descriptors ar,6,Abstract
Article 6.pdf,5,Experimental Validation,Y. Hu et al. Energy Storage Materials 89 (2026) 105222 mapped to degradation and health variables. These pathways are not treated as isolated case studies; they illustrate how intrinsic descriptors ar,6,Abstract
Article 6.pdf,6,Structure Retrieval,"transition priors, transport descriptors, interphase source-term constraints, and parameter libraries. Direct deployment is limited by exchange-correlation sensitivity, finite-temperature and solvatio",7,Abstract
Article 4.pdf,1,Machine Learning,Energy Storage Materials 89 (2026) 105252 Contents lists available at ScienceDirect Energy Storage Materials journal homepage: www.elsevier.com/locate/ensm Toward data-driven lithium metal batteries: ,1,Metadata/Header
Article 4.pdf,2,Conductivity Extraction,"Y. Lou et al. Energy Storage Materials 89 (2026) 105252 experimental explorations have been conducted to develop novel elec­ trode and electrolyte materials. However, the traditional “tri­ al-and-erro",2,Introduction
Article 4.pdf,3,Structure Retrieval,"Y. Lou et al. Energy Storage Materials 89 (2026) 105252 electrolyte amount, areal capacity, stack pressure, cell format, and failure criteria can strongly affect the measured lifetime and Coulombic ef",3,Introduction
Article 4.pdf,4,AIMD,"Y. Lou et al. Energy Storage Materials 89 (2026) 105252 electrolyte amount, areal capacity, stack pressure, cell format, and failure criteria can strongly affect the measured lifetime and Coulombic ef",3,Introduction
Article 4.pdf,5,Experimental Validation,Feature importance analysis showing the key solvation properties influencing CE. Reprinted with permission from ref [45]. agreement between actual and predicted ln(ICE) (initial Coulombic ef­ ficiency,5,Introduction
Article 4.pdf,6,Diffusion Analysis,"(1) where Di, ci, zi, ui, F, and φ represent the diffusion coefficient, ion con­ centration, charge number, mobility, Faraday constant, and electric potential, respectively. Interfacial charge transfe",12,Introduction
Article 5.pdf,1,AIMD,Y. Hu et al. Energy Storage Materials 89 (2026) 105222 mapped to degradation and health variables. These pathways are not treated as isolated case studies; they illustrate how intrinsic descriptors ar,6,Abstract
Article 5.pdf,2,Arrhenius Fitting,Y. Hu et al. Energy Storage Materials 89 (2026) 105222 mapped to degradation and health variables. These pathways are not treated as isolated case studies; they illustrate how intrinsic descriptors ar,6,Abstract
Article 5.pdf,3,Conductivity Extraction,Y. Hu et al. Energy Storage Materials 89 (2026) 105222 mapped to degradation and health variables. These pathways are not treated as isolated case studies; they illustrate how intrinsic descriptors ar,6,Abstract
Article 5.pdf,4,Machine Learning,Y. Hu et al. Energy Storage Materials 89 (2026) 105222 mapped to degradation and health variables. These pathways are not treated as isolated case studies; they illustrate how intrinsic descriptors ar,6,Abstract
Article 5.pdf,5,Experimental Validation,Y. Hu et al. Energy Storage Materials 89 (2026) 105222 mapped to degradation and health variables. These pathways are not treated as isolated case studies; they illustrate how intrinsic descriptors ar,6,Abstract
Article 5.pdf,6,Structure Retrieval,"transition priors, transport descriptors, interphase source-term constraints, and parameter libraries. Direct deployment is limited by exchange-correlation sensitivity, finite-temperature and solvatio",7,Abstract
Article 8 2.pdf,1,Conductivity Extraction,"S c i e n c e A d va n c e s | R e v i e w E N G I N E E R I N G Toward AI ecosystems for electrolyte and interface engineering in solid-­state batteries Zhilong Wang1,2,3, Wolfgang G. Zeier4,5, Fengq",1,Metadata/Header
Article 8 2.pdf,2,Machine Learning,"S c i e n c e A d va n c e s | R e v i e w E N G I N E E R I N G Toward AI ecosystems for electrolyte and interface engineering in solid-­state batteries Zhilong Wang1,2,3, Wolfgang G. Zeier4,5, Fengq",1,Metadata/Header
Article 8 2.pdf,3,Experimental Validation,"ductivity, as well as high mechanical strength and stability are reviewed and analyzed. Then, advances in SEI and CEI engineering are summarized and discussed. Last, three key ongoing limitations and ",3,Metadata/Header
Article 8 2.pdf,4,MSD Analysis,"Downloaded from https://www.science.org on August 31, 2026 Battery assembly Performance testing Stability evaluation Property calculation Diffusion MSD Materials candidates (fast Li-ion conductors) Ti",4,Metadata/Header
Article 8 2.pdf,5,Structure Retrieval,"S c i e n c e A d va n c e s | R e v i e w where x denotes decision variables in the feasible search space χ [e.g., interphase composition ratios (LiF fraction 0 to 1), formation protocol parameters (",5,Metadata/Header
Article 8 2.pdf,6,AIMD,"S c i e n c e A d va n c e s | R e v i e w where x denotes decision variables in the feasible search space χ [e.g., interphase composition ratios (LiF fraction 0 to 1), formation protocol parameters (",5,Metadata/Header
Article 8 2.pdf,7,Arrhenius Fitting,"S c i e n c e A d va n c e s | R e v i e w energy instead of ionic conductivity may be more accurate and reli- able, as the temperature dependence is less sensitive to the absolute value of the ionic ",10,Methods
Article 8 2.pdf,8,DFT Relaxation,"and shear modulus GVRH) and ionic conductivities of SE candidates (196). LGBM, light gradient boosting machine; CGCNN, crystal graph convolutional neural network; MEGNet, MatErials graph network; MPNN",11,Methods
Article 8 2.pdf,9,Diffusion Analysis,"initial screening, phase stability, electrochemical stability, and chemical stability were used as sequential filters for the high-­throughput screening (160). Vred and Vox are the reduction and oxida",17,Methods
Article 8.pdf,1,Conductivity Extraction,"S c i e n c e A d va n c e s | R e v i e w E N G I N E E R I N G Toward AI ecosystems for electrolyte and interface engineering in solid-­state batteries Zhilong Wang1,2,3, Wolfgang G. Zeier4,5, Fengq",1,Metadata/Header
Article 8.pdf,2,Machine Learning,"S c i e n c e A d va n c e s | R e v i e w E N G I N E E R I N G Toward AI ecosystems for electrolyte and interface engineering in solid-­state batteries Zhilong Wang1,2,3, Wolfgang G. Zeier4,5, Fengq",1,Metadata/Header
Article 8.pdf,3,Experimental Validation,"ductivity, as well as high mechanical strength and stability are reviewed and analyzed. Then, advances in SEI and CEI engineering are summarized and discussed. Last, three key ongoing limitations and ",3,Metadata/Header
Article 8.pdf,4,MSD Analysis,"Downloaded from https://www.science.org on August 31, 2026 Battery assembly Performance testing Stability evaluation Property calculation Diffusion MSD Materials candidates (fast Li-ion conductors) Ti",4,Metadata/Header
Article 8.pdf,5,Structure Retrieval,"S c i e n c e A d va n c e s | R e v i e w where x denotes decision variables in the feasible search space χ [e.g., interphase composition ratios (LiF fraction 0 to 1), formation protocol parameters (",5,Metadata/Header
Article 8.pdf,6,AIMD,"S c i e n c e A d va n c e s | R e v i e w where x denotes decision variables in the feasible search space χ [e.g., interphase composition ratios (LiF fraction 0 to 1), formation protocol parameters (",5,Metadata/Header
Article 8.pdf,7,Arrhenius Fitting,"S c i e n c e A d va n c e s | R e v i e w energy instead of ionic conductivity may be more accurate and reli- able, as the temperature dependence is less sensitive to the absolute value of the ionic ",10,Methods
Article 8.pdf,8,DFT Relaxation,"and shear modulus GVRH) and ionic conductivities of SE candidates (196). LGBM, light gradient boosting machine; CGCNN, crystal graph convolutional neural network; MEGNet, MatErials graph network; MPNN",11,Methods
Article 8.pdf,9,Diffusion Analysis,"initial screening, phase stability, electrochemical stability, and chemical stability were used as sequential filters for the high-­throughput screening (160). Vred and Vox are the reduction and oxida",17,Methods
Article 9.pdf,1,Conductivity Extraction,Energy & Environmental Science PAPER Machine learning-accelerated discovery of multi-cation entropy-stabilized NASICON solid electrolytes with 10 000 hours of stable Na plating/stripping for all-solid,1,Metadata/Header
Article 9.pdf,2,Machine Learning,Energy & Environmental Science PAPER Machine learning-accelerated discovery of multi-cation entropy-stabilized NASICON solid electrolytes with 10 000 hours of stable Na plating/stripping for all-solid,1,Metadata/Header
Article 9.pdf,3,Supercell Construction,Ionic conductivity properties of synthesized NASICON oxide SSEs. (a) Room-temperature impedance spectra of the synthesized NASICON oxide SSEs. (b) Comparison of room-temperature ionic conductivity for,6,Supplementary
Article 9.pdf,4,Arrhenius Fitting,Ionic conductivity properties of synthesized NASICON oxide SSEs. (a) Room-temperature impedance spectra of the synthesized NASICON oxide SSEs. (b) Comparison of room-temperature ionic conductivity for,6,Supplementary
Machine learning assisted materials design and discovery for rechargeable batteries.pdf,1,Machine Learning,Energy Storage Materials 31 (2020) 434–450 Contents lists available at ScienceDirect Energy Storage Materials journal homepage: www.elsevier.com/locate/ensm Machine learning assisted materials design ,1,Metadata/Header
Machine learning assisted materials design and discovery for rechargeable batteries.pdf,2,Structure Retrieval,"435 and “data” [16], which means a new model of performing theoretical simulation and property prediction priority with experimental verifica- tion behind. In the past, extensive experimental material",2,Introduction
Machine learning assisted materials design and discovery for rechargeable batteries.pdf,3,Conductivity Extraction,"“machine learning” þ “materials” as key words, respectively. 436 neural network (ANN) and partial least squares (PLS) algorithm with density functional theory (DFT) to predict the diffusion barrier an",3,Introduction
Machine Learning-Assisted Crystal Structure Prediction of SolidState Electrolytes Reveals Superior Ionic Conductivity in Metastable Edge-Sharing Phases.pdf,1,Conductivity Extraction,"Article pubs.acs.org/JACS Machine Learning-Assisted Crystal Structure Prediction of Solid- State Electrolytes Reveals Superior Ionic Conductivity in Metastable Edge-Sharing Phases Ji Hoon Kim, Ji Seon",1,Metadata/Header
Machine Learning-Assisted Crystal Structure Prediction of SolidState Electrolytes Reveals Superior Ionic Conductivity in Metastable Edge-Sharing Phases.pdf,2,Machine Learning,"Article pubs.acs.org/JACS Machine Learning-Assisted Crystal Structure Prediction of Solid- State Electrolytes Reveals Superior Ionic Conductivity in Metastable Edge-Sharing Phases Ji Hoon Kim, Ji Seon",1,Metadata/Header
Machine Learning-Assisted Crystal Structure Prediction of SolidState Electrolytes Reveals Superior Ionic Conductivity in Metastable Edge-Sharing Phases.pdf,3,Structure Retrieval,"To pursue safer and more energy-dense lithium-ion batteries (LIBs), all-solid-state batteries (ASSBs) have garnered significant attention as next-generation batteries.1−3 Specifi- cally, ASSBs replace",1,Introduction
Machine Learning-Assisted Crystal Structure Prediction of SolidState Electrolytes Reveals Superior Ionic Conductivity in Metastable Edge-Sharing Phases.pdf,4,Experimental Validation,"To pursue safer and more energy-dense lithium-ion batteries (LIBs), all-solid-state batteries (ASSBs) have garnered significant attention as next-generation batteries.1−3 Specifi- cally, ASSBs replace",1,Introduction
Machine Learning-Assisted Crystal Structure Prediction of SolidState Electrolytes Reveals Superior Ionic Conductivity in Metastable Edge-Sharing Phases.pdf,5,AIMD,Journal of the American Chemical Society pubs.acs.org/JACS Article spaces wherein structurally distinct and metastable phases may arise. These approaches not only expand the accessible structural degr,2,Introduction
Machine Learning-Assisted Crystal Structure Prediction of SolidState Electrolytes Reveals Superior Ionic Conductivity in Metastable Edge-Sharing Phases.pdf,6,DFT Relaxation,"process begins with the generation of initial structures, including amorphous and random structures, corresponding to a target composition AxByCz. The CSP loop iteratively updates the MTP model by fit",3,Methods
Machine Learning-Assisted Crystal Structure Prediction of SolidState Electrolytes Reveals Superior Ionic Conductivity in Metastable Edge-Sharing Phases.pdf,7,MSD Analysis,"connectivity types, and Li-ion diffusivities of the predicted structures. Details of the computational procedure for diffusivity are described in Supporting Information, and the mean square displaceme",5,Supplementary
Article 7 2.pdf,1,Conductivity Extraction,Article | Article in Press https://doi.org/10.1038/s41467-026-77363-w Predicting ionic conductivity of sulfide glass solid-state electrolytes using max-flow,1,Metadata/Header
Article 7 2.pdf,2,Machine Learning,"Article https://doi.org/10.1038/s41467-026-77363-w 11, and Li2O-B2O3-P2O5 12 have also been stu- died as potential SSE materials even though these glasses present lower ionic conductivities in the ran",2,Methods
Article 7 2.pdf,3,MSD Analysis,"Article https://doi.org/10.1038/s41467-026-77363-w is treated as being part of the static backbone, motivated by the sig- nificantly lower mean squared displacements of the backbone atoms (factors of ",4,Results
Article 7 2.pdf,4,Diffusion Analysis,"Article https://doi.org/10.1038/s41467-026-77363-w is treated as being part of the static backbone, motivated by the sig- nificantly lower mean squared displacements of the backbone atoms (factors of ",4,Results
Article 7 2.pdf,5,Arrhenius Fitting,"The results of our proposed max-flow algorithm show that the con- ductivity of ions in glass electrolytes is strongly influenced by the ion- conduction pathways in the materials, both in the number of",5,Discussion
Predicting ionic conductivity in solids from the machine-learned potential energy landscape.pdf,1,Structure Retrieval,"Predicting ionic conductivity in solids from the machine-learned potential energy landscape Artem Maevskiy,1, ∗Alexandra Carvalho,1, 2 Emil Sataev,3 Volha Turchyna,3 Keian Noori,1, 2 Aleksandr Rodin,4",1,Metadata/Header
Predicting ionic conductivity in solids from the machine-learned potential energy landscape.pdf,2,Conductivity Extraction,"Predicting ionic conductivity in solids from the machine-learned potential energy landscape Artem Maevskiy,1, ∗Alexandra Carvalho,1, 2 Emil Sataev,3 Volha Turchyna,3 Keian Noori,1, 2 Aleksandr Rodin,4",1,Metadata/Header
Predicting ionic conductivity in solids from the machine-learned potential energy landscape.pdf,3,Machine Learning,"new SSE materials [8–12]. However, these methods are often computationally expensive and time-consuming. Machine learning (ML) presents a viable solution to mitigate these limitations [13–25]. By leve",1,Methods
Predicting ionic conductivity in solids from the machine-learned potential energy landscape.pdf,4,AIMD,"and highest predictive power are chosen to rank the struc- tures from the Materials Project dataset [26]. Finally, we perform computationally demanding ab initio molecular dynamics (AIMD) simulation t",2,Methods
