paper_id,figure_number,caption,page,section,referenced_materials,referenced_properties,referenced_tables,referenced_equations,mentioned_methods
OBELiX- A Curated Dataset of Crystal Structures and Experimentally Measured Ionic Conductivities for Lithium Solid-State Electrolytes.pdf,2,Figure 2: a) Distributions of ionic-conductivity values for the training and testing sets along with,5,Introduction,NONE,NONE,NONE,NONE,NONE
OBELiX- A Curated Dataset of Crystal Structures and Experimentally Measured Ionic Conductivities for Lithium Solid-State Electrolytes.pdf,3,Figure 3: Ionic conductivity of entries in the dataset that have the same composition and space group.,6,Introduction,NONE,NONE,NONE,NONE,NONE
OBELiX- A Curated Dataset of Crystal Structures and Experimentally Measured Ionic Conductivities for Lithium Solid-State Electrolytes.pdf,4,Figure 4 and Table S1 present our benchmarking results and Figure S1 presents the corresponding,7,Discussion,NONE,NONE,NONE,NONE,NONE
OBELiX- A Curated Dataset of Crystal Structures and Experimentally Measured Ionic Conductivities for Lithium Solid-State Electrolytes.pdf,4,Figure 4: Benchmarking of various ML models. The same data is tabulated in Table S1. Simpler,8,Discussion,NONE,NONE,NONE,NONE,NONE
Article 2.pdf,1,Figure 1. Flowchart of high-throughput density functional theory molecular dynamics (DFT-MD) simulation process. Materials are chosen either,3,Introduction,NONE,NONE,NONE,NONE,NONE
Article 2.pdf,2,Figure 2. Computationally observed ionic conductivity in candidate,5,Results,NONE,NONE,NONE,NONE,NONE
Article 2.pdf,3,Figure 3. Normalized histogram of predicted room temperature (RT),8,Methods,NONE,NONE,NONE,NONE,NONE
Article 2.pdf,4,Figure 4. Comparison of human and machine. Here we plot the,9,Supplementary,NONE,NONE,NONE,NONE,NONE
Article 3.pdf,1,Fig. 1. (a) Workflow of ROOST CML for predicting anti-perovskite SSE candidates. (b) Phase diagram of the Li-O-Cl system depicting the Ehull. Black spheres,3,Introduction,NONE,NONE,NONE,NONE,NONE
Article 3.pdf,2,"Fig. 2. (a) Active learning model predicted ESW of SSEs [45]. (b) Distribution of ESW widths for inorganic compounds of each migrating species (Li+, Na+, K+, Ca2+,",4,Introduction,EsS2,NONE,NONE,NONE,NONE
Article 3.pdf,3,"Fig. 3. Overview of the framework to discover garnet SSEs. (a) Left panel, crystal structure of garnet materials with four element sites and space group of Ia3d. Right",5,Introduction,EsS2,Space_Group | Software,NONE,NONE,NONE
Article 3.pdf,4,Fig. 4. Unsupervised clustering of all Li-containing compounds. (a) Bottom-up tree diagram (dendrogram) generated using the agglomerative hierarchical clustering,7,Methods,NONE,NONE,NONE,NONE,NONE
Article 3.pdf,5,Fig. 5. (a) VIP scores of descriptors (explanatory variables) in the partial least squares model. Five different color areas correspond to five categories. The dotted line,8,Methods,VPI,NONE,NONE,NONE,NONE
Article 3.pdf,6,"Fig. 6. (a) Phonon-ion interactions are responsible for promoting the formation of anomalous defects, thereby facilitating ion migration [71]. (b) Li ion migration",8,Methods,NONE,NONE,NONE,NONE,NONE
Article 3.pdf,7,"Fig. 7. (a) The structure of LiGe2(PO4)3 used as a prototype to generate new virtual compounds with nonrelaxed structures, for which the total phonon band center is",9,Methods,LiGe2(PO4)3,NONE,NONE,NONE,NONE
Article 3.pdf,8,Fig. 8. Prediction accuracy change depending on mechanical property range in the training set for predicting (a) GVRH and (b) KVRH and calculated vs. predicted plot,10,Methods,NONE,NONE,NONE,NONE,NONE
Article 3.pdf,9,Fig. 9. Decision boundary for the 2-feature reactivity predictors and resulting expansion of the material search space. Top two panels show the spread of the training,12,Methods,NONE,NONE,NONE,NONE,NONE
Article 3.pdf,10,"Fig. 10. SEI layer formation process between Li (001) and b-Li3PS4 (010) at 300 K and 100 bar. (a) Initial interface model, (b) ion diffusion, (c) and (d) nucleation",13,Methods,Li3PS4,NONE,NONE,NONE,NONE
Article 7.pdf,1,"Fig. 1 | Schematic of the maximum flow method. S is the source, and T is the",2,Methods,NONE,NONE,NONE,NONE,NONE
Article 7.pdf,2,Fig. 2 | Visual representation of the pipeline employed to proceed from the,3,Methods,NONE,NONE,NONE,NONE,NONE
Article 7.pdf,3,Fig. 3 | Lithium and sodium diffusion in glassy electrolytes. a Structural com-,5,Results,NONE,NONE,NONE,NONE,NONE
Article 7.pdf,4,Fig. 4 shows the extrapolated room temperature conductivity of the,5,Results,NONE,NONE,NONE,NONE,NONE
Article 7.pdf,4,Fig. 4 | Predicting ionic conductivity from maximum flow. Calculated room,6,Discussion,NONE,NONE,NONE,NONE,NONE
Machine_Learning_Paradigm_for_Advanced_Battery_Ele.pdf,1,"Figure 1A, research interest in electrolyte materials is rising.",2,Abstract,NONE,NONE,NONE,NONE,NONE
Machine_Learning_Paradigm_for_Advanced_Battery_Ele.pdf,1,FIGURE 1 | Publication trends and keyword map of ML–battery electrolytes. (A) Publication trends of battery and electrolyte fields based on,2,Abstract,NONE,NONE,NONE,NONE,NONE
Machine_Learning_Paradigm_for_Advanced_Battery_Ele.pdf,2,"Figure 2A–C, different properties of liquid and solid‐state",3,Abstract,NONE,NONE,NONE,NONE,NONE
Machine_Learning_Paradigm_for_Advanced_Battery_Ele.pdf,2,"FIGURE 2 | Properties summary and ion transfer mechanism of liquid and solid‐state electrolytes. Radar plot of (A) Liquid electrolyte,",3,Abstract,NONE,NONE,NONE,NONE,NONE
Machine_Learning_Paradigm_for_Advanced_Battery_Ele.pdf,3,"FIGURE 3 | Overview of ML paradigms and representative algorithms. Main ML algorithms could be divided into unsupervised, supervised, and",4,Abstract,NONE,NONE,NONE,NONE,NONE
Machine_Learning_Paradigm_for_Advanced_Battery_Ele.pdf,4,FIGURE 4 | Schemes summary of representative ML and DL algorithms.,8,Methods,NONE,NONE,NONE,NONE,NONE
Machine_Learning_Paradigm_for_Advanced_Battery_Ele.pdf,5,"FIGURE 5 | Classical small molecule representation method. (A) SMILES, 1D fingerprint, and 2D graph representation method of a classical",9,Methods,NONE,NONE,NONE,NONE,NONE
Machine_Learning_Paradigm_for_Advanced_Battery_Ele.pdf,6,FIGURE 6 | Polymer and inorganic materials representation method. (A) Polymer representation based on GNN [88]. Reproduced with per­,11,Methods,NONE,Algorithm,NONE,NONE,NONE
Machine_Learning_Paradigm_for_Advanced_Battery_Ele.pdf,7,FIGURE 7 | Properties prediction related to liquid electrolytes (A) Donor number prediction model workflow of solvent molecule [108]. Re­,13,Methods,NONE,NONE,NONE,NONE,NONE
Machine_Learning_Paradigm_for_Advanced_Battery_Ele.pdf,8,FIGURE 8 | Knowledge discovery of liquid electrolytes. (A) CE prediction by linear model and range of feature importance [119]. Reproduced,15,Methods,NONE,NONE,NONE,NONE,NONE
Machine_Learning_Paradigm_for_Advanced_Battery_Ele.pdf,9,FIGURE 9 | Virtual screening for electrolyte components. (A) Electrolytomics workflow for electrolytes development [128]. Reproduced with,17,Methods,NONE,NONE,NONE,NONE,NONE
Machine_Learning_Paradigm_for_Advanced_Battery_Ele.pdf,10,FIGURE 10 | ML for SPE development. (A) Architecture of coarse‐grained molecular dynamics−Bayesian optimization (CGMD‐BO) framework [138].,19,Methods,BO,NONE,NONE,NONE,NONE
Machine_Learning_Paradigm_for_Advanced_Battery_Ele.pdf,11,"FIGURE 11 | ML for ISE development. (A) Architecture of LiCondAI [157]. Reproduced with permission: Copyright 2025, American Chemical",21,Methods,LiCo,NONE,NONE,NONE,NONE
Article 6.pdf,1,"Fig. 1, the framework comprises four representative scales connected by",3,Introduction,NONE,NONE,NONE,NONE,NONE
Article 6.pdf,1,"Fig. 1. ACPC framework for cross-scale LIB modeling. Bottom-up parameter carriers are generated, homogenized, reduced, or reparameterized across atomistic,",3,Introduction,NONE,NONE,NONE,NONE,NONE
Article 6.pdf,2,"Fig. 2. Cross-scale use of DFT-derived quantities. DFT tasks generate thermodynamic, kinetic, interfacial, and screening outputs that can be mapped to OCV/phase-",7,Abstract,VCO,NONE,NONE,NONE,NONE
Article 6.pdf,3,Fig. 3. MD-derived descriptors for electrolyte transport and interfacial kinetics. (a) Solvation-state distributions linked to fast-charging transport. (Retrieved from,8,Methods,NONE,NONE,NONE,NONE,NONE
Article 6.pdf,3,"Fig. 3a,c.",8,Methods,NONE,NONE,NONE,NONE,NONE
Article 6.pdf,3,"Fig. 3b. For charged solid–liquid interfaces, MD is uniquely valuable",8,Methods,NONE,NONE,NONE,NONE,NONE
Article 6.pdf,4,"Fig. 4. MLIPs workflow for generating atomistic parameter carriers. DFT/AIMD data train MLIPs through representation learning, active learning, and uncertainty",10,Methods,NONE,NONE,NONE,NONE,NONE
Article 6.pdf,5,"Fig. 5. Recent MLIPs applications relevant to battery parameter transfer. (a, b) Iterative training and coverage improvement for a deep-learning potential of LLZO.",10,Methods,Li7La3Zr2O12,NONE,NONE,NONE,NONE
Article 6.pdf,5,"Fig. 5a–c. In particular, Fig. 5a,b highlight how the performance of",11,Methods,NONE,NONE,NONE,NONE,NONE
Article 6.pdf,5,Fig. 5e illustrates how MLIPs-enabled long-time-scale simulations con­,11,Methods,NONE,NONE,NONE,NONE,NONE
Article 6.pdf,6,"Fig. 6. AI-assisted materials discovery as parameter-prior generation. Computational, experimental, and literature-derived data are encoded by graph or foundation",12,Methods,NONE,NONE,NONE,NONE,NONE
Article 6.pdf,7,"Fig. 7a–c illustrate electrolyte-formulation search, in which differen­",12,Methods,NONE,NONE,NONE,NONE,NONE
Article 6.pdf,7,Fig. 7. Representative AI-assisted materials-discovery routes for battery parameter-prior generation. (a-c) Electrolyte-formulation optimization through differen­,13,Methods,NONE,NONE,NONE,NONE,NONE
Article 6.pdf,8,Fig. 8. Porous-electrode models as electrode-to-cell translation layers. (a) P2D domains and state variables. (Adapted from Moura et al. [180]); (b) Physics retained,15,Conclusion,P2H,NONE,NONE,NONE,NONE
Article 6.pdf,9,Fig. 9. Phase-field descriptions of morphology-driven degradation. (a) Dendrite evolution and interfacial instability under coupled transport–reaction conditions; (b),15,Conclusion,NONE,NONE,NONE,NONE,NONE
Article 6.pdf,9,Fig. 9 links two morphology-driven degradation pathways that are,16,Conclusion,NONE,NONE,NONE,NONE,NONE
Article 6.pdf,10,"Fig. 10. Electrochemical–mechanical coupling as a degradation-carrier generator. Material and interfacial inputs produce coupled concentration, stress, reaction,",17,Conclusion,NONE,NONE,NONE,NONE,NONE
Article 6.pdf,11,"Fig. 11. AI-assisted parameter identification and microstructure-to-parameter compression. Route I infers electrochemical, thermal, and aging parameters from cell-",18,Conclusion,NONE,NONE,NONE,NONE,NONE
Article 6.pdf,12,"Fig. 12. Surrogate and operator-learning architectures for cell-scale modeling. (a, b) SPMe-trained deep surrogate and its use in fast-charging policy search.",19,Conclusion,NONE,NONE,NONE,NONE,NONE
Article 6.pdf,13,"Fig. 13. ECM topologies for cell-to-module parameter compression. (a–d) Common RC, Thevenin, PNGV, and related time-domain ECM variants. (Adapted from",22,Conclusion,NONE,NONE,NONE,NONE,NONE
Article 6.pdf,14,"Fig. 14. High-fidelity module models as spatial ground-truth generators. Cell-level heat, impedance, thermal, mechanical, and aging carriers are mapped to module-",23,Conclusion,NONE,NONE,NONE,NONE,NONE
Article 6.pdf,15,Fig. 15. Physics-constrained inversion for module inconsistency diagnosis. An ECM-array forward model maps cell-parameter distributions to module measure­,24,Conclusion,NONE,NONE,NONE,NONE,NONE
Article 6.pdf,16,"Fig. 16. Closed-loop module-level state estimation and life prediction. Cell-level ECM parameters, degradation descriptors, and electrochemical priors are com­",26,Conclusion,NONE,NONE,NONE,NONE,NONE
Article 6.pdf,17,"Fig. 17. Health-aware control within the ACPC chain. State, health, thermal, safety, and uncertainty descriptors are converted into charging, balancing, cooling, and",27,Conclusion,NONE,NONE,NONE,NONE,NONE
Article 6.pdf,17,Fig. 17 summarizes this role as a health-aware decision layer that con­,27,Conclusion,NONE,NONE,NONE,NONE,NONE
Article 4.pdf,1,Fig. 1. Schematic overview of ML-driven research for LMBs.,2,Introduction,NONE,NONE,NONE,NONE,NONE
Article 4.pdf,1,"Fig. 1. Besides, the challenges and future perspectives of ML-driven LMB",2,Introduction,NONE,NONE,NONE,NONE,NONE
Article 4.pdf,2,Fig. 2. ML workflow for LMB research.,4,Introduction,NONE,NONE,NONE,NONE,NONE
Article 4.pdf,3,Fig. 3. (a) The schematic diagram of the ML workflow. (b) Parity plot comparing actual and predicted ln(ICE) of Li metal anodes in the training and test sets. (c),5,Introduction,NONE,NONE,NONE,NONE,NONE
Article 4.pdf,4,"Fig. 4. Workflow of electrolyte solvent screening for high-voltage Li metal batteries, adapted with permission from ref [48].",6,Introduction,NONE,NONE,NONE,NONE,NONE
Article 4.pdf,5,Fig. 5. (a) Representative crystal structures of typical solid-state lithium conductors. (b) Predicted ionic conductivities (σ373) for compositions in the Li8-cAaBbO4,8,Introduction,NONE,Software | Method,NONE,NONE,NONE
Article 4.pdf,6,"Fig. 6. (a) Schematic illustration of the one-step thermal curing process for preparing a glass fiber-reinforced composite polymer electrolyte (CPE) using PEGDGE,",9,Introduction,NONE,NONE,NONE,NONE,NONE
Article 4.pdf,7,"Fig. 7a, atomistic configurations generated from nanosecond-scale",10,Introduction,NONE,NONE,NONE,NONE,NONE
Article 4.pdf,7,"Fig. 7. (a) Schematic of the ML workflow for XPS prediction, including descriptor construction from atomic configurations and model training using an XGBoost",10,Introduction,NONE,Algorithm | Technique,NONE,NONE,XPS
Article 4.pdf,8,"Fig. 8. Schematic of lithium deposition under VLCD. (a) Homogeneous deposition with near-zero VLCD, (b) inhomogeneous deposition with low VLCD, and (c)",11,Introduction,NONE,NONE,NONE,NONE,NONE
Article 4.pdf,9,Fig. 9. Parity plots for observed and predicted cycle lives for different feature sets using the ElasticNet model. (a) Discharge-related feature subset. (b) Charge-related,13,Introduction,NONE,NONE,NONE,NONE,NONE
Article 4.pdf,10,"Fig. 10. (a) Pore formation and interfacial kinetics in lithium metal anodes. (b) Sample reconstruction slices of the lithium metal electrode imaged for pristine,",14,Introduction,Li,NONE,NONE,NONE,NONE
Article 4.pdf,11,"Fig. 11. Parity plots for the initial surrogate LL-model training: (a) LUMO energy from the PubChemQC database, (b) interaction energy on the (100) surface of Li",15,Introduction,NONE,NONE,NONE,NONE,NONE
Article 4.pdf,12,Fig. 12. Electrolyte discovery workflow (Electrolytomics) and critical electrolyte properties. Reprinted with permission from ref [115].,17,Introduction,NONE,NONE,NONE,NONE,NONE
Article 4.pdf,13,Fig. 13. Schematic illustration of the challenges and enabling requirements for autonomous LMB laboratories.,17,Introduction,NONE,NONE,NONE,NONE,NONE
Article 5.pdf,1,"Fig. 1, the framework comprises four representative scales connected by",3,Introduction,NONE,NONE,NONE,NONE,NONE
Article 5.pdf,1,"Fig. 1. ACPC framework for cross-scale LIB modeling. Bottom-up parameter carriers are generated, homogenized, reduced, or reparameterized across atomistic,",3,Introduction,NONE,NONE,NONE,NONE,NONE
Article 5.pdf,2,"Fig. 2. Cross-scale use of DFT-derived quantities. DFT tasks generate thermodynamic, kinetic, interfacial, and screening outputs that can be mapped to OCV/phase-",7,Abstract,VCO,NONE,NONE,NONE,NONE
Article 5.pdf,3,Fig. 3. MD-derived descriptors for electrolyte transport and interfacial kinetics. (a) Solvation-state distributions linked to fast-charging transport. (Retrieved from,8,Methods,NONE,NONE,NONE,NONE,NONE
Article 5.pdf,3,"Fig. 3a,c.",8,Methods,NONE,NONE,NONE,NONE,NONE
Article 5.pdf,3,"Fig. 3b. For charged solid–liquid interfaces, MD is uniquely valuable",8,Methods,NONE,NONE,NONE,NONE,NONE
Article 5.pdf,4,"Fig. 4. MLIPs workflow for generating atomistic parameter carriers. DFT/AIMD data train MLIPs through representation learning, active learning, and uncertainty",10,Methods,NONE,NONE,NONE,NONE,NONE
Article 5.pdf,5,"Fig. 5. Recent MLIPs applications relevant to battery parameter transfer. (a, b) Iterative training and coverage improvement for a deep-learning potential of LLZO.",10,Methods,Li7La3Zr2O12,NONE,NONE,NONE,NONE
Article 5.pdf,5,"Fig. 5a–c. In particular, Fig. 5a,b highlight how the performance of",11,Methods,NONE,NONE,NONE,NONE,NONE
Article 5.pdf,5,Fig. 5e illustrates how MLIPs-enabled long-time-scale simulations con­,11,Methods,NONE,NONE,NONE,NONE,NONE
Article 5.pdf,6,"Fig. 6. AI-assisted materials discovery as parameter-prior generation. Computational, experimental, and literature-derived data are encoded by graph or foundation",12,Methods,NONE,NONE,NONE,NONE,NONE
Article 5.pdf,7,"Fig. 7a–c illustrate electrolyte-formulation search, in which differen­",12,Methods,NONE,NONE,NONE,NONE,NONE
Article 5.pdf,7,Fig. 7. Representative AI-assisted materials-discovery routes for battery parameter-prior generation. (a-c) Electrolyte-formulation optimization through differen­,13,Methods,NONE,NONE,NONE,NONE,NONE
Article 5.pdf,8,Fig. 8. Porous-electrode models as electrode-to-cell translation layers. (a) P2D domains and state variables. (Adapted from Moura et al. [180]); (b) Physics retained,15,Conclusion,P2H,NONE,NONE,NONE,NONE
Article 5.pdf,9,Fig. 9. Phase-field descriptions of morphology-driven degradation. (a) Dendrite evolution and interfacial instability under coupled transport–reaction conditions; (b),15,Conclusion,NONE,NONE,NONE,NONE,NONE
Article 5.pdf,9,Fig. 9 links two morphology-driven degradation pathways that are,16,Conclusion,NONE,NONE,NONE,NONE,NONE
Article 5.pdf,10,"Fig. 10. Electrochemical–mechanical coupling as a degradation-carrier generator. Material and interfacial inputs produce coupled concentration, stress, reaction,",17,Conclusion,NONE,NONE,NONE,NONE,NONE
Article 5.pdf,11,"Fig. 11. AI-assisted parameter identification and microstructure-to-parameter compression. Route I infers electrochemical, thermal, and aging parameters from cell-",18,Conclusion,NONE,NONE,NONE,NONE,NONE
Article 5.pdf,12,"Fig. 12. Surrogate and operator-learning architectures for cell-scale modeling. (a, b) SPMe-trained deep surrogate and its use in fast-charging policy search.",19,Conclusion,NONE,NONE,NONE,NONE,NONE
Article 5.pdf,13,"Fig. 13. ECM topologies for cell-to-module parameter compression. (a–d) Common RC, Thevenin, PNGV, and related time-domain ECM variants. (Adapted from",22,Conclusion,NONE,NONE,NONE,NONE,NONE
Article 5.pdf,14,"Fig. 14. High-fidelity module models as spatial ground-truth generators. Cell-level heat, impedance, thermal, mechanical, and aging carriers are mapped to module-",23,Conclusion,NONE,NONE,NONE,NONE,NONE
