paper_id,filename,title,authors,journal,doi,publication_year,n_materials,n_relations,n_references
Article 7.pdf,Article 7.pdf,SpringerNature_NatCommun_77363_AIP 1..9,NONE,NONE,10.1038/s41467-026-77363-w,2026,8,11,36
Machine_Learning_Paradigm_for_Advanced_Battery_Ele.pdf,Machine_Learning_Paradigm_for_Advanced_Battery_Ele.pdf,Machine Learning Paradigm for Advanced Battery Electrolyte Development,Chang Su; Mengfan Pei; Keyu Chen; Xigao Jian; Fangyuan Hu;,"Carbon Energy, doi:10.1002/cey2.70244",10.1002/cey2.70244,2026,13,25,187
Article 6.pdf,Article 6.pdf,AI-enabled cross-scale modeling and parameter transfer for lithium-ion batteries,Yikai Hu,"Energy Storage Materials, 89 (2026) 105222. doi:10.1016/j.ensm.2026.105222",10.1016/j.ensm.2026.105222,2026,6,9,335
Article 4.pdf,Article 4.pdf,"Toward data-driven lithium metal batteries: Machine learning for materials design, mechanistic insight, and autonomous optimization",Yu Lou,"Energy Storage Materials, 89 (2026) 105252. doi:10.1016/j.ensm.2026.105252",10.1016/j.ensm.2026.105252,2026,5,5,120
Article 5.pdf,Article 5.pdf,AI-enabled cross-scale modeling and parameter transfer for lithium-ion batteries,Yikai Hu,"Energy Storage Materials, 89 (2026) 105222. doi:10.1016/j.ensm.2026.105222",10.1016/j.ensm.2026.105222,2026,6,9,335
Article 8 2.pdf,Article 8 2.pdf,Toward AI ecosystems for electrolyte and interface engineering in solid-state batteries,NONE,Sci. Adv. 2025.11:eaea0638,10.1126/sciadv.aea0638,2025,33,39,200
Article 8.pdf,Article 8.pdf,Toward AI ecosystems for electrolyte and interface engineering in solid-state batteries,NONE,Sci. Adv. 2025.11:eaea0638,10.1126/sciadv.aea0638,2025,33,39,200
Article 9.pdf,Article 9.pdf,Machine learning-accelerated discovery of multi-cation entropy-stabilized NASICON solid electrolytes with 10&#x2009;000 hours of stable Na plating/stripping for all-solid-state sodium batteries,Daxian Zuo,"Energy & Environmental Science (2026), 19, 860-869, doi:10.1039/D5EE06594A",10.1039/d5ee06594a,2026,15,31,60
Machine learning assisted materials design and discovery for rechargeable batteries.pdf,Machine learning assisted materials design and discovery for rechargeable batteries.pdf,Machine learning assisted materials design and discovery for rechargeable batteries,Yue Liu,"Energy Storage Materials, 31 (2020) 434-450. doi:10.1016/j.ensm.2020.06.033",10.1016/j.ensm.2020.06.033,2020,14,29,156
Machine Learning-Assisted Crystal Structure Prediction of SolidState Electrolytes Reveals Superior Ionic Conductivity in Metastable Edge-Sharing Phases.pdf,Machine Learning-Assisted Crystal Structure Prediction of SolidState Electrolytes Reveals Superior Ionic Conductivity in Metastable Edge-Sharing Phases.pdf,Machine Learning-Assisted Crystal Structure Prediction of Solid-State Electrolytes Reveals Superior Ionic Conductivity in Metastable Edge-Sharing Phases,"Ji Hoon Kim, Ji Seon Kim, Yong Hui Kim, Byeongsun Jun, Yong Jun Jang, and Sang Uck Lee",J. Am. Chem. Soc. 2025.147:47381-47391,10.1021/jacs.5c15665,2025,13,21,0
Article 7 2.pdf,Article 7 2.pdf,SpringerNature_NatCommun_77363_AIP 1..9,NONE,NONE,10.1038/s41467-026-77363-w,2026,8,11,36
Predicting ionic conductivity in solids from the machine-learned potential energy landscape.pdf,Predicting ionic conductivity in solids from the machine-learned potential energy landscape.pdf,arXiv:2411.06804v2  [cond-mat.mtrl-sci]  14 Apr 2025,NONE,NONE,NONE,2025,35,46,0
A Graph Neural Network for the Era of Large Atomistic Models.pdf,A Graph Neural Network for the Era of Large Atomistic Models.pdf,A Graph Neural Network for the Era of Large Atomistic Models,Duo Zhang; Anyang Peng; Chun Cai; Wentao Li; Yuanchang Zhou; Jinzhe Zeng; Mingyu Guo; Chengqian Zhang; Bowen Li; Hong Jiang; Tong Zhu; Weile Jia; Linfeng Zhang; Han Wang,NONE,10.1021/acs.jpclett.9b00085,2026,9,29,108
