paper_id,material_id,material_formula,matched_as,ea_type,raw_value,normalized_value,unit,confidence,page,section,sentence,source_type
Article 1.pdf,NONE,NONE,Activation Energy,unspecified,"('0.45', 'eV')",0.45 eV,eV,0.55,5,Supplementary,"The newly discovered SSLCs are in the upper left corner of Fig. 3, which corresponds to high σRT of >10−5 S cm−1 and low Ea of 0.17–0.45 eV. More importantly, these SSLCs comprise new structures, chemistries, and compositions significantly different from known SSLCs, demonstrating the capability of our crystal-structure-based unsupervised learning model to discover materials beyond existing chemistries.",Text
Article 2.pdf,MAT_22,Li2HIO,Migration Barrier,unspecified,"('0.35', 'eV')",0.35 eV,eV,0.779,5,Results,"Materials with dotted lines have caveats in their extrapolations: (1) Li2HIO was only simulated at 400 K due to melting at higher temperatures; the RT extrapolation assumes a diffusion barrier of 0.35 eV: a typical, if high, Li ion diffusion barrier in fast conducting materials.",Text
Article 2.pdf,NONE,NONE,Migration Barrier,unspecified,"('78', 'meV')",0.078 eV,eV,0.5,3,Introduction,"− D T D e ( ) ii E k T 0 / a B (3) Ionic hopping becomes exponentially less likely as the energy barrier increases, and at 900 K (kBT = 78 meV) hopping may not happen on the tens to hundreds of picoseconds time scale if the barrier is much above 0.4 eV (e−0.4/0.078 = 0.006).",Text
Article 3.pdf,MAT_4,LiBiO2,Migration Barrier,unspecified,"('0.27', 'eV')",0.27 eV,eV,0.6,9,Methods,"The model is validated via DFT calcu­ lations on several unseen compounds and experimentally using elec­ trochemical impedance spectroscopy, confirming accurate predictions for known ionic conductors like Li6PS5Cl and identifying promising candidates such as LiBiO2 with a low migration barrier of 0.27 eV.",Text
Machine_Learning_Paradigm_for_Advanced_Battery_Ele.pdf,MAT_13,Li10Ge(PS6)2,Activation Energy,unspecified,"('226', 'meV')",0.226 eV,eV,0.25,20,Methods,"Previous studies have shown that MLIPs can successfully sim­ ulate the diffusion behavior of lithium ions in solid electrolytes of Li10GeP2S12 (LGPS), accurately predict the diffusion rate (12 mS cm−1) and activation energy (226 meV) at 300 K, and further reveal the regulation of chloride doping on ionic con­ ductivity, which is difficult to be systematically realized under the traditional DFT framework",Text
Article 4.pdf,NONE,NONE,Migration Barrier,unspecified,"('0.2', 'eV')",0.2 eV,eV,0.5,12,Introduction,"Energy Storage Materials 89 (2026) 105252 lithium redistribution and void closure (Fig. 8d), while subsequent work by the same group revealed how the crystallographic orientation of the Cu current collector directs uniform lithium nucleation, with the (100) facet exhibiting a lower diffusion barrier (ca. 0.2 eV) that favors uniform deposition, whereas the (111) and (211) facets present higher barriers (>0.5 eV) that promote dendrite formation [82,83].",Text
Article 9.pdf,NONE,NONE,Activation Energy,unspecified,"('0.29', 'eV')",0.29 eV,eV,0.55,6,Supplementary,"As shown by the Arrhenius plots (Fig. S5), ME1-NZSP exhibits an activation energy of 0.29 eV–significantly lower than that of pristine NZSP (0.35 eV)–indicating that configurational disor- der introduced by multi-cation substitution facilitates Na+ hopping by lowering the migration energy barriers.",Text
Machine learning assisted materials design and discovery for rechargeable batteries.pdf,MAT_4,C2F,Migration Barrier,unspecified,"('0.15', 'eV')",0.15 eV,eV,0.5,6,Introduction,"A Gaussian kernel ridge regression (GKRR) model was developed to predict FCC solute diffusion barriers with root mean square error (RMSE) of 0.15 eV. As seen from the above research studies, many data are not only of high dimensionality, but also of small sample size, which easily leads to overfitting of the ML model and reduces the generalization ability.",Text
Predicting ionic conductivity in solids from the machine-learned potential energy landscape.pdf,NONE,NONE,Activation Energy,unspecified,"('31', 'meV')",0.031 eV,eV,0.7,8,Results,Including this point yields EA = 216±31 meV with a very low p-value ( χ2 df ) of 0.003 (4.7).,Text
Predicting ionic conductivity in solids from the machine-learned potential energy landscape.pdf,MAT_13,V0.5F1,Activation Energy,unspecified,"('0.5', 'eV')",0.5 eV,eV,0.679,14,Methods,10 5 10 7 [ S 10 9 1012 10 3 10 2 10 1 FV0.5 eV (connected) 1010 kB 700K) 108 exp ( EA 106 104 102 10 3 10 2 10 1 FV0.5 eV (connected),Text
Predicting ionic conductivity in solids from the machine-learned potential energy landscape.pdf,NONE,NONE,Activation Energy,unspecified,"('295', 'meV')",0.295 eV,eV,0.5,7,Results,"with the range of values measured experimentally, with EA = 295 meV and σ = 8.3 mS / cm for the most pure phase sample in Ref.",Text
Predicting ionic conductivity in solids from the machine-learned potential energy landscape.pdf,MAT_7,Li10Ge(PS6)2,Activation Energy,unspecified,"('40', 'meV')",0.04 eV,eV,0.45,8,Results,"Of the five LGPS-like structures from Table I, Li10Ge(PSe6)2 (mp-721239) was simulated in [68], and the reported activation energy and conductivity at room temperature are 190 ± 40 meV and 24 mS / cm, respec- tively.",Text
Predicting ionic conductivity in solids from the machine-learned potential energy landscape.pdf,MAT_3,Li7P3S11,Activation Energy,unspecified,"('18', 'meV')",0.018 eV,eV,0.35,6,Results,A. AIMD validation summary AIMD calculations for the reference Li7P3S11 struc- ture result in the activation barrier estimate of EA = 249 ± 18 meV and room-temperature-extrapolated con- ductivity of 7.9 ± 3.7 mS / cm.,Text
