paper_id,table_number,caption,page,section,headers,rows,material_column
Article 11.pdf,3,NONE,10,Results,"[""Column""]",[],NONE
Article 11.pdf,4,NONE,10,Results,"[""1"", ""1_2""]",[],NONE
Article 11.pdf,5,NONE,10,Results,"[""Column"", ""Column_2""]",[],NONE
Article 11.pdf,6,NONE,10,Results,"[""μ~ Li+"", ""μ~ Li+_2"", ""μ~ Li+_3""]","[{""μ~ Li+"": ""μ~ e−"", ""μ~ Li+_2"": """", ""μ~ Li+_3"": """"}, {""μ~ Li+"": """", ""μ~ Li+_2"": """", ""μ~ Li+_3"": ""Reduction potential Solid electrolyte reduction""}, {""μ~ Li+"": ""μ Li"", ""μ~ Li+_2"": """", ""μ~ Li+_3"": """"}]",NONE
Article 11.pdf,7,NONE,10,Results,"[""Column""]",[],NONE
Article 11.pdf,8,NONE,10,Results,"[""Column""]",[],NONE
Article 11.pdf,9,NONE,10,Results,"[""Column""]",[],NONE
Article 11.pdf,10,NONE,10,Results,"[""Column""]",[],NONE
Article 11.pdf,11,NONE,10,Results,"[""Column""]",[],NONE
Article 11.pdf,12,NONE,10,Results,"[""Column""]",[],NONE
Smart Materials Prediction- Applying Machine Learning to Lithium Solid-State Electrolyte.pdf,1,NONE,3,Results,"[""Figure 1. (A) Key steps in building a ML model. The white arrows indicate the data flow; green""]","[{""Figure 1. (A) Key steps in building a ML model. The white arrows indicate the data flow; green"": ""Figure1. (A)KeystepsinbuildingaMLmodel. Thewhitearrowsindicatethedataflow;green arrows indicate actions that can be identified and performed after analysis to improve the model’s""}, {""Figure 1. (A) Key steps in building a ML model. The white arrows indicate the data flow; green"": ""arrowsindica performance.""}]",NONE
Smart Materials Prediction- Applying Machine Learning to Lithium Solid-State Electrolyte.pdf,1,Table 1. Cont.,5,Results,"[""Figure 2. (A) Overview of the pymatgen library. Text in italics represents names of Python packages,"", ""Figure 2. (A) Overview of the pymatgen library. Text in italics represents names of Python packages,_2""]","[{""Figure 2. (A) Overview of the pymatgen library. Text in italics represents names of Python packages,"": ""Figure2.(A)Overv modules, or classes."", ""Figure 2. (A) Overview of the pymatgen library. Text in italics represents names of Python packages,_2"": ""ofPythonpack (B) The architec-""}, {""Figure 2. (A) Overview of the pymatgen library. Text in italics represents names of Python packages,"": ""ture of the ionic transport characteristics database."", ""Figure 2. (A) Overview of the pymatgen library. Text in italics represents names of Python packages,_2"": """"}]",NONE
Smart Materials Prediction- Applying Machine Learning to Lithium Solid-State Electrolyte.pdf,1,Table 1. Cont.,5,Results,"[""Column"", ""C) Schematic overview of zeolite data engineering, including (1) litera-""]","[{""Column"": ""ture extraction from sources such as NLP from body text, parsing of HTML tables and regex match-"", ""C) Schematic overview of zeolite data engineering, including (1) litera-"": """"}, {""Column"": ""ing between text and tables, (2) regression modeling and (3) zeolite structure prediction."", ""C) Schematic overview of zeolite data engineering, including (1) litera-"": """"}]",NONE
Smart Materials Prediction- Applying Machine Learning to Lithium Solid-State Electrolyte.pdf,1,NONE,11,Results,"[""Figiugruer4e. 4(A. ()AD)i aDgriaamgroafma toyfp aic atylapritcifailc iaarltniefiucriaall nneetwuroarkl .nTehtwebolrakck. ,Tbhluee balnadckre, dblcuirec laesnidn driecdat ecircles indicate""]","[{""Figiugruer4e. 4(A. ()AD)i aDgriaamgroafma toyfp aic atylapritcifailc iaarltniefiucriaall nneetwuroarkl .nTehtwebolrakck. ,Tbhluee balnadckre, dblcuirec laesnidn driecdat ecircles indicate"": ""ninpputu,th, ihdiddedneann danodu topuuttplauyt elrasy.eErasc. hEcaicrhcl ecirrecplere rseepntrsesaennatrst iafinc iaarltnifeiucrioanl naenudraornro awnsdi nadrricoawtes indicate con-""}, {""Figiugruer4e. 4(A. ()AD)i aDgriaamgroafma toyfp aic atylapritcifailc iaarltniefiucriaall nneetwuroarkl .nTehtwebolrakck. ,Tbhluee balnadckre, dblcuirec laesnidn driecdat ecircles indicate"": ""onnenceticotinosn sfrforomm tthhee oouuttppuutto offo onenen enueruonrotno tthoe tihnep uintpofuat nooft haenro.tRheeprr.i""}]",NONE
Smart Materials Prediction- Applying Machine Learning to Lithium Solid-State Electrolyte.pdf,2,NONE,11,Results,"[""Column"", ""Column_2"", ""(B(B) )IlIllulusstrtraattiioonn ooff tthhee ccrryyssttaall ggrraapphhc oconvnovloultuiotnioalnal neural net-""]","[{""Column"": ""weuorraklns"", ""Column_2"": ""atwndor kthsea nsdcrteheensicnrege npirnogcpesrosc oesfs hoifghhig mhemcehcahnaniciacal lpprrooppeerrttiieessS SSESEu suinsgincgry csrtaylsgtaral pghraph convolu-"", ""(B(B) )IlIllulusstrtraattiioonn ooff tthhee ccrryyssttaall ggrraapphhc oconvnovloultuiotnioalnal neural net-"": """"}, {""Column"": ""otinovnoalul tnioenuarlanle unreatlwneotrwko. r(ka.)( aC)oCnosntsrturuccttiioonn oofft htheec rcyrsytasltgarla gprha.pChry. sCtarlyssatraelcso anrvee rcteodntvoegrrtaepdh tso graphs with"", ""Column_2"": """", ""(B(B) )IlIllulusstrtraattiioonn ooff tthhee ccrryyssttaall ggrraapphhc oconvnovloultuiotnioalnal neural net-"": """"}, {""Column"": ""nitohdneosd erseprerperseesnentitningg aattoommssi ninth ethuen iutcneiltl acnedll eadngeds reedpgreesse nrteinpgreastoemnticnognn aectotimon sc.oNnondeecstaiondns. Nodes and"", ""Column_2"": """", ""(B(B) )IlIllulusstrtraattiioonn ooff tthhee ccrryyssttaall ggrraapphhc oconvnovloultuiotnioalnal neural net-"": """"}, {""Column"": ""dedgegseasr earceh acrhaactrearcizteedrizbyedv ebcyto vrseccotorrress pcoonrrdeinspgotontdhienagt otom tshaen datboomnds sainndth beocnrydsst ailn, rtehsep eccrtyivsetalyl., respectively."", ""Column_2"": """", ""(B(B) )IlIllulusstrtraattiioonn ooff tthhee ccrryyssttaall ggrraapphhc oconvnovloultuiotnioalnal neural net-"": """"}, {""Column"": ""b(b))S tSrturcutuctrueroef othf ethceo ncvoonlvuotilountailonneaul rnaelunreatwl noerktwoonrtko pono ftothpe ocfr ythstea lcrgyrsatpahl. gRracpohn.v Ro lcuotinovnaollutional layers"", ""Column_2"": """", ""(B(B) )IlIllulusstrtraattiioonn ooff tthhee ccrryyssttaall ggrraapphhc oconvnovloultuiotnioalnal neural net-"": """"}, {""Column"": ""aaynedrs Lan1d hLid1dheidnd leanylearyse rasraer ebubuilitl toonn ttoopp ooff eeaacchhn ondoed,ere, sruelstuinlgtiinnga inne aw ngerawp hgrwaipthhe wacihthn oedaech node repre-"", ""Column_2"": """", ""(B(B) )IlIllulusstrtraattiioonn ooff tthhee ccrryyssttaall ggrraapphhc oconvnovloultuiotnioalnal neural net-"": """"}, {""Column"": ""espernetsienngti nthgeth leolcoacla leennvviirroonnmmeenntot foefa echacahto amt.oAmft.e Arpftoeorl ipngo,oalivnegct,o ar rveepcretosern rteinpgrtehseeennttiinregc trhyset aelntire crystal is"", ""Column_2"": """", ""(B(B) )IlIllulusstrtraattiioonn ooff tthhee ccrryyssttaall ggrraapphhc oconvnovloultuiotnioalnal neural net-"": """"}, {""Column"": ""sccoonnnneecctteedd ttoo LL22h hididddenenla lyaeyrse,rfso, lfloowlloedwbeyd tbhye othuetp ouuttlpayuetr ltaoyperro tvoi dperothveidpree tdhicet iporne.dRiecvtiiosend."", ""Column_2"": """", ""(B(B) )IlIllulusstrtraattiioonn ooff tthhee ccrryyssttaall ggrraapphhc oconvnovloultuiotnioalnal neural net-"": """"}]",NONE
AI-Driven Rational Design of Solid-State Electrolytes .pdf,1,NONE,1,Results,"[""AI for Materials""]","[{""AI for Materials"": ""https://www.sciltp.com/journals/aimat""}]",NONE
AI-Driven Rational Design of Solid-State Electrolytes .pdf,2,NONE,1,Results,"[""Column"", ""The solid-state electrolytes (SSE) are gaining tremendous attention in""]","[{""Column"": ""designing rechargeable batteries with remarkable energy density and safety features"", ""The solid-state electrolytes (SSE) are gaining tremendous attention in"": """"}, {""Column"": ""for next-generation energy storage device applications. The rational design of SSE"", ""The solid-state electrolytes (SSE) are gaining tremendous attention in"": """"}, {""Column"": ""with promising ionic conductivity, higher electrochemical stability windows, and"", ""The solid-state electrolytes (SSE) are gaining tremendous attention in"": """"}, {""Column"": ""stable electrode-electrolyte interfaces remain a formidable challenge, traditionally"", ""The solid-state electrolytes (SSE) are gaining tremendous attention in"": """"}, {""Column"": ""hindered by trial-and-error experimentation and computationally expensive"", ""The solid-state electrolytes (SSE) are gaining tremendous attention in"": """"}, {""Column"": ""theoretical simulations. Here, we systematically review the recent breakthroughs in"", ""The solid-state electrolytes (SSE) are gaining tremendous attention in"": """"}, {""Column"": ""the artificial intelligence (AI)-driven design of SSE, spanning electrochemical"", ""The solid-state electrolytes (SSE) are gaining tremendous attention in"": """"}, {""Column"": ""stability and ionic conductivity domains, with a particular focus on how machine"", ""The solid-state electrolytes (SSE) are gaining tremendous attention in"": """"}, {""Column"": ""learning (ML) and deep learning (DL) are fundamentally transforming the"", ""The solid-state electrolytes (SSE) are gaining tremendous attention in"": """"}, {""Column"": ""discovery and optimization landscape. We critically discuss the synergy between"", ""The solid-state electrolytes (SSE) are gaining tremendous attention in"": """"}, {""Column"": ""first-principles density functional theory (DFT), molecular dynamics (MD)"", ""The solid-state electrolytes (SSE) are gaining tremendous attention in"": """"}, {""Column"": ""simulations, and advanced AI algorithms including supervised and unsupervised"", ""The solid-state electrolytes (SSE) are gaining tremendous attention in"": """"}, {""Column"": ""learning (SL, UL), graph neural networks (GNNs), and"", ""The solid-state electrolytes (SSE) are gaining tremendous attention in"": """"}]",NONE
AI-Driven Rational Design of Solid-State Electrolytes .pdf,3,NONE,1,Results,"[""Column"", ""that collectively enable accurate prediction of ionic""]","[{""Column"": ""conductivity, elucidation of ion transport mechanisms, and high-throughput"", ""that collectively enable accurate prediction of ionic"": """"}, {""Column"": ""screening (HTS) of vast chemical spaces. Emphasis is placed on descriptor"", ""that collectively enable accurate prediction of ionic"": """"}, {""Column"": ""engineering that bridges atomic-level structural features (e.g., lattice parameters,"", ""that collectively enable accurate prediction of ionic"": """"}, {""Column"": ""activation energies, defect chemistry) with macroscopic electrochemical"", ""that collectively enable accurate prediction of ionic"": """"}, {""Column"": ""performance, as well as the emerging paradigm of closed-loop, self-driving"", ""that collectively enable accurate prediction of ionic"": """"}, {""Column"": ""laboratories for autonomous materials discovery. Furthermore, AI-guided strategies"", ""that collectively enable accurate prediction of ionic"": """"}, {""Column"": ""have demonstrated remarkable interfacial ionic transport mechanism. Despite these"", ""that collectively enable accurate prediction of ionic"": """"}, {""Column"": ""transformative advances, persistent challenges including data scarcity, limited"", ""that collectively enable accurate prediction of ionic"": """"}, {""Column"": ""descriptor transferability, discrepancies between theoretical predictions and"", ""that collectively enable accurate prediction of ionic"": """"}, {""Column"": ""experimental realization, remain significant challenges. Looking forward, the"", ""that collectively enable accurate prediction of ionic"": """"}, {""Column"": ""convergence of AI with high-throughput experimentation and multiscale modeling"", ""that collectively enable accurate prediction of ionic"": """"}, {""Column"": ""promises to redefine SSE discovery, accelerating the deployment of high-"", ""that collectively enable accurate prediction of ionic"": """"}, {""Column"": ""performance all solid-state batteries (ASSBs) for sustainable energy storage"", ""that collectively enable accurate prediction of ionic"": """"}]",NONE
AI-Driven Rational Design of Solid-State Electrolytes .pdf,1,Table 1. Comparison of ML and DL in AI-driven SSE design.,9,Results,"[""Feature"", ""Feature_2"", ""Feature_3"", ""Feature_4"", ""ML"", ""ML_2"", ""ML_3"", ""ML_4"", ""DL""]","[{""Feature"": ""Typical algorithm"", ""Feature_2"": """", ""Feature_3"": """", ""Feature_4"": """", ""ML"": ""RF, SVMs, kernel ridge regression"", ""ML_2"": """", ""ML_3"": """", ""ML_4"": """", ""DL"": ""GNNs, CNNs, RNNs""}, {""Feature"": ""Data requirement"", ""Feature_2"": """", ""Feature_3"": """", ""Feature_4"": """", ""ML"": ""Small to medium datasets"", ""ML_2"": """", ""ML_3"": """", ""ML_4"": """", ""DL"": ""Large and high-dimensional datasets""}, {""Feature"": """", ""Feature_2"": """", ""Feature_3"": """", ""Feature_4"": """", ""ML"": ""Compel manually designed"", ""ML_2"": """", ""ML_3"": """", ""ML_4"": """", ""DL"": """"}, {""Feature"": """", ""Feature_2"": """", ""Feature_3"": """", ""Feature_4"": """", ""ML"": ""descriptors for example ionic radius,"", ""ML_2"": """", ""ML_3"": """", ""ML_4"": """", ""DL"": """"}, {""Feature"": """", ""Feature_2"": """", ""Feature_3"": """", ""Feature_4"": """", ""ML"": ""and lattice parameters"", ""ML_2"": """", ""ML_3"": """", ""ML_4"": """", ""DL"": """"}, {""Feature"": """", ""Feature_2"": """", ""Feature_3"": """", ""Feature_4"": """", ""ML"": ""Captures moderate, often linear/non-"", ""ML_2"": """", ""ML_3"": """", ""ML_4"": """", ""DL"": """"}, {""Feature"": """", ""Feature_2"": """", ""Feature_3"": """", ""Feature_4"": """", ""ML"": ""linear relationships"", ""ML_2"": """", ""ML_3"": """", ""ML_4"": """", ""DL"": """"}, {""Feature"": ""Interpretability"", ""Feature_2"": """", ""Feature_3"": """", ""Feature_4"": """", ""ML"": ""High-models are often interpretable"", ""ML_2"": """", ""ML_3"": """", ""ML_4"": """", ""DL"": ""Moderate to low-models are often “black box”""}, {""Feature"": """", ""Feature_2"": """", ""Feature_3"": """", ""Feature_4"": """", ""ML"": ""Property prediction (ionic"", ""ML_2"": """", ""ML_3"": """", ""ML_4"": """", ""DL"": """"}, {""Feature"": """", ""Feature_2"": """", ""Feature_3"": """", ""Feature_4"": """", ""ML"": ""conductivity, stability, mechanical"", ""ML_2"": """", ""ML_3"": """", ""ML_4"": """", ""DL"": """"}, {""Feature"": """", ""Feature_2"": """", ""Feature_3"": """", ""Feature_4"": """", ""ML"": ""properties), screening of known"", ""ML_2"": """", ""ML_3"": """", ""ML_4"": """", ""DL"": """"}, {""Feature"": """", ""Feature_2"": """", ""Feature_3"": """", ""Feature_4"": """", ""ML"": ""materials"", ""ML_2"": """", ""ML_3"": """", ""ML_4"": """", ""DL"": """"}, {""Feature"": """", ""Feature_2"": """", ""Feature_3"": """", ""Feature_4"": """", ""ML"": ""Fast, interpretable, effective for"", ""ML_2"": """", ""ML_3"": """", ""ML_4"": """", ""DL"": """"}, {""Feature"": """", ""Feature_2"": """", ""Feature_3"": """", ""Feature_4"": """", ""ML"": ""small datasets"", ""ML_2"": """", ""ML_3"": """", ""ML_4"": """", ""DL"": """"}, {""Feature"": """", ""Feature_2"": """", ""Feature_3"": """", ""Feature_4"": """", ""ML"": ""Performance limited by feature"", ""ML_2"": """", ""ML_3"": """", ""ML_4"": """", ""DL"": """"}, {""Feature"": """", ""Feature_2"": """", ""Feature_3"": """", ""Feature_4"": """", ""ML"": ""quality and dataset size"", ""ML_2"": """", ""ML_3"": """", ""ML_4"": """", ""DL"": """"}]",NONE
AI-Driven Rational Design of Solid-State Electrolytes .pdf,1,Table 1. Comparison of ML and DL in AI-driven SSE design.,9,Results,"[""Automatically extract features from raw data (crystal""]","[{""Automatically extract features from raw data (crystal"": ""configurations, interface patterns)""}]",NONE
AI-Driven Rational Design of Solid-State Electrolytes .pdf,1,Table 1. Comparison of ML and DL in AI-driven SSE design.,9,Results,"[""Generative design of novel SSE compositions, modeling""]","[{""Generative design of novel SSE compositions, modeling"": ""structure-properties relationships in large datasets,""}, {""Generative design of novel SSE compositions, modeling"": ""interface and defects analysis""}]",NONE
AI-Driven Rational Design of Solid-State Electrolytes .pdf,1,Table 1. Comparison of ML and DL in AI-driven SSE design.,9,Results,"[""Applications in SSE""]","[{""Applications in SSE"": ""design""}]",NONE
AI-Driven Rational Design of Solid-State Electrolytes .pdf,1,Table 1. Comparison of ML and DL in AI-driven SSE design.,9,Results,"[""feature learning""]","[{""feature learning"": ""Requires large datasets and high and high""}, {""feature learning"": ""computational resources""}]",NONE
AI-Driven Rational Design of Solid-State Electrolytes .pdf,1,Table 1. Comparison of ML and DL in AI-driven SSE design.,9,Results,"[""Column"", ""(MLIP) have nominated as a transformative theoretical framework for scrutinizing SSE, linking""]","[{""Column"": ""he venerable gap between the accuracy of first-principles calculations and the required efficiency for large-scale"", ""(MLIP) have nominated as a transformative theoretical framework for scrutinizing SSE, linking"": """"}, {""Column"": ""atomistic simulations. Furthermore, in case of potential energy surfaces based on DFT datasets, MLIP facilitate"", ""(MLIP) have nominated as a transformative theoretical framework for scrutinizing SSE, linking"": """"}, {""Column"": ""he exploration of ion transport, defect evolution, phase transitions, and electrolyte electrode interfacial phenomena"", ""(MLIP) have nominated as a transformative theoretical framework for scrutinizing SSE, linking"": """"}, {""Column"": ""over extensively extended length and time scales. Numerous MLIP frameworks have been successfully developed,"", ""(MLIP) have nominated as a transformative theoretical framework for scrutinizing SSE, linking"": """"}, {""Column"": ""such as deep potential molecular dynamics (DPMD), Gaussian Approximation potentials (GAP), Moment Tensor"", ""(MLIP) have nominated as a transformative theoretical framework for scrutinizing SSE, linking"": """"}]",NONE
AI-Driven Rational Design of Solid-State Electrolytes .pdf,1,NONE,10,Results,"[""Potentials (MTP), and NNPs, each offering tremendous advantages in terms of accuracy, transferability, and""]","[{""Potentials (MTP), and NNPs, each offering tremendous advantages in terms of accuracy, transferability, and"": ""computational efficiency [156,157].""}]",NONE
AI-Driven Rational Design of Solid-State Electrolytes .pdf,1,NONE,15,Results,"[""Column"", ""However, conventional HTS faces challenges when relying on databases like MP, AFLOWLIB, and OQMD.""]","[{""Column"": ""In materials science, the primary challenge is manifestation of incomplete datasets, where including thermal"", ""However, conventional HTS faces challenges when relying on databases like MP, AFLOWLIB, and OQMD."": """"}, {""Column"": ""conductivity, elastic moduli, and electrochemical characteristics are frequently unfeasible. For instance, MP lacks"", ""However, conventional HTS faces challenges when relying on databases like MP, AFLOWLIB, and OQMD."": """"}, {""Column"": ""essential descriptors like bandgaps or mechanical properties for many entries. Additionally, inconsistent data"", ""However, conventional HTS faces challenges when relying on databases like MP, AFLOWLIB, and OQMD."": """"}, {""Column"": ""quality arises conflicting values for electrode potentials or lattice constants found between OQMD and MP can"", ""However, conventional HTS faces challenges when relying on databases like MP, AFLOWLIB, and OQMD."": """"}, {""Column"": ""lead to unreliable inputs and inaccurate predictions. Variations in computational approaches and data standards"", ""However, conventional HTS faces challenges when relying on databases like MP, AFLOWLIB, and OQMD."": """"}, {""Column"": ""further complicate integration. In energy storage research, timescale data often contain missing charge and"", ""However, conventional HTS faces challenges when relying on databases like MP, AFLOWLIB, and OQMD."": """"}]",NONE
AI-Driven Rational Design of Solid-State Electrolytes .pdf,1,NONE,16,Results,"[""discharge cycle or irregular timestamps, reducing predictive reliability. These issues underscore the inherent""]","[{""discharge cycle or irregular timestamps, reducing predictive reliability. These issues underscore the inherent"": ""limitations of public database driven HTS.""}]",NONE
AI-Driven Rational Design of Solid-State Electrolytes .pdf,2,NONE,16,Results,"[""Column"", ""Researchers are struggling with HTS in combination with outcomes obtained using DFT and ML models.""]","[{""Column"": ""This approach overcomes the shortcomings, offers autonomous strategy to use AI for screening, has established a"", ""Researchers are struggling with HTS in combination with outcomes obtained using DFT and ML models."": """"}, {""Column"": ""platform to design SSE with outstanding performance."", ""Researchers are struggling with HTS in combination with outcomes obtained using DFT and ML models."": """"}]",NONE
